Chr,start,end,mid,sites,Pi,perc_RAD
I,6490001,6500000,6495998,218,0.0008,100%
I,6540001,6550000,6544704,240,0.0,100%
I,6550001,6560000,6553866,180,0.0,100%
I,6560001,6570000,6563943,330,0.0,100%
I,6600001,6610000,6603675,200,0.0,100%
I,6620001,6630000,6625310,240,0.0003,100%
I,6690001,6700000,6694758,229,0.0008,100%
I,6700001,6710000,6704369,278,0.0003,100%
I,6720001,6730000,6725102,210,0.0,100%
I,6730001,6740000,6734377,240,0.0,100%
I,6790001,6800000,6794971,180,0.0,100%
I,6820001,6830000,6823283,240,0.0,100%
I,6830001,6840000,6835024,210,0.0,100%
I,6890001,6900000,6894669,210,0.0,100%
I,6900001,6910000,6905080,209,0.0,100%
I,6910001,6920000,6915114,210,0.0,100%
I,6920001,6930000,6923386,210,0.0008,100%
I,6930001,6940000,6934763,194,0.0004,100%
I,6940001,6950000,6945562,210,0.0004,100%
I,6970001,6980000,6974824,240,0.0,100%
I,6990001,7000000,6994408,180,0.0005,100%
I,7000001,7010000,7004899,180,0.0,100%
I,7010001,7020000,7016640,325,0.0,100%
I,7030001,7040000,7034254,180,0.0,100%
I,7050001,7060000,7054332,180,0.0005,100%
I,7080001,7090000,7084371,180,0.0009,100%
I,7090001,7100000,7095475,240,0.0,100%
I,7150001,7160000,7154926,210,0.0,100%
I,7160001,7170000,7164344,270,0.0,100%
I,7180001,7190000,7183455,197,0.0004,100%
I,7190001,7200000,7192376,180,0.0,100%
I,7290001,7300000,7294772,180,0.0005,100%
I,7300001,7310000,7305917,210,0.0004,100%
I,7310001,7320000,7313926,180,0.0,100%
I,7360001,7370000,7363452,180,0.0,100%
I,7450001,7460000,7453458,180,0.0,100%
I,7480001,7490000,7487571,180,0.0,100%
I,7500001,7510000,7506625,180,0.0,100%
I,7510001,7520000,7513708,180,0.0,100%
I,7550001,7560000,7556083,210,0.0004,100%
I,7560001,7570000,7564536,270,0.0006,100%
I,7580001,7590000,7585473,300,0.0003,100%
I,7590001,7600000,7595253,240,0.0,100%
I,7600001,7610000,7605258,300,0.0,100%
I,7610001,7620000,7616161,204,0.0,100%
I,7630001,7640000,7635519,242,0.0007,100%
I,7640001,7650000,7646189,210,0.0011,100%
I,7650001,7660000,7656456,165,0.0,100%
I,7680001,7690000,7683386,234,0.0,100%
I,7690001,7700000,7693358,208,0.0004,100%
I,7730001,7740000,7735014,379,0.0006,100%
I,7760001,7770000,7764126,239,0.0,100%
I,7850001,7860000,7853496,210,0.0,100%
I,7880001,7890000,7884884,239,0.0007,100%
I,7930001,7940000,7935209,240,0.0003,100%
I,7950001,7960000,7954614,179,0.0021,100%
I,7960001,7970000,7965284,180,0.0,100%
I,8010001,8020000,8016109,240,0.0007,100%
I,8020001,8030000,8023595,210,0.0,100%
I,8030001,8040000,8033137,210,0.0,100%
I,8050001,8060000,8055706,210,0.0,100%
I,8140001,8150000,8144740,240,0.0003,100%
I,8160001,8170000,8164542,198,0.0018,100%
I,8170001,8180000,8174456,258,0.0009,100%
I,8220001,8230000,8225552,280,0.0003,100%
I,8290001,8300000,8296334,176,0.0,100%
I,8330001,8340000,8335786,208,0.0,100%
I,8350001,8360000,8355233,209,0.0,100%
I,8360001,8370000,8364721,210,0.0,100%
I,8390001,8400000,8394999,178,0.0005,100%
I,8430001,8440000,8434571,180,0.0,100%
I,8450001,8460000,8454423,160,0.0,100%
I,8490001,8500000,8495576,240,0.0,100%
I,8520001,8530000,8527099,180,0.0,100%
I,8540001,8550000,8545073,164,0.0,100%
I,8550001,8560000,8553924,270,0.0003,100%
I,8630001,8640000,8635240,210,0.0,100%
I,8750001,8760000,8754097,210,0.0,100%
I,8760001,8770000,8765390,240,0.0,100%
I,8790001,8800000,8795305,328,0.0002,100%
I,8810001,8820000,8815300,240,0.0013,100%
I,8820001,8830000,8824192,240,0.0003,100%
I,8830001,8840000,8833832,180,0.0,100%
I,8840001,8850000,8845949,180,0.0,100%
I,8860001,8870000,8865263,240,0.0003,100%
I,8900001,8910000,8905153,180,0.0,100%
I,8910001,8920000,8915735,283,0.0,100%
I,8960001,8970000,8966434,246,0.0003,100%
I,8970001,8980000,8976996,169,0.0,100%
I,8980001,8990000,8985028,210,0.0,100%
I,9010001,9020000,9016114,209,0.0,100%
I,9020001,9030000,9026366,180,0.0005,100%
I,9040001,9050000,9044017,180,0.0,100%
I,9110001,9120000,9115100,180,0.0013,100%
I,9120001,9130000,9124516,240,0.0009,100%
I,9210001,9220000,9215106,300,0.0006,100%
I,9250001,9260000,9257343,180,0.0,100%
I,9310001,9320000,9315593,300,0.0003,100%
I,9320001,9330000,9323334,225,0.0004,100%
I,9360001,9370000,9366032,179,0.0005,100%
I,9410001,9420000,9414863,180,0.0,100%
I,9490001,9500000,9493837,309,0.0006,100%
I,9500001,9510000,9505866,175,0.0,100%
I,9560001,9570000,9565016,210,0.0008,100%
I,9580001,9590000,9586476,180,0.0005,100%
I,9600001,9610000,9605238,210,0.0011,100%
I,9610001,9620000,9616207,219,0.0,100%
I,9640001,9650000,9643954,201,0.002,100%
I,9730001,9740000,9734107,164,0.0011,100%
I,9740001,9750000,9745241,210,0.0004,100%
I,9750001,9760000,9754242,270,0.0,100%
I,9780001,9790000,9785686,210,0.0,100%
I,9890001,9900000,9893963,165,0.0016,100%
I,9950001,9960000,9954775,189,0.0,100%
I,9960001,9970000,9965826,209,0.0,100%
I,9980001,9990000,9984517,274,0.0003,100%
I,9990001,10000000,9994826,180,0.0,100%
I,10000001,10010000,10005973,239,0.0,100%
I,10030001,10040000,10035761,184,0.0,100%
I,10090001,10100000,10097291,179,0.0,100%
I,10120001,10130000,10125410,210,0.0,100%
I,10160001,10170000,10164735,225,0.0,100%
I,10250001,10260000,10254458,177,0.0,100%
I,10260001,10270000,10267598,468,0.006,100%
I,10270001,10280000,10273714,651,0.0157,100%
I,10320001,10330000,10325137,180,0.0005,100%
I,10340001,10350000,10345324,270,0.0,100%
I,10400001,10410000,10405404,180,0.0,100%
I,10430001,10440000,10436026,180,0.0,100%
I,10470001,10480000,10475073,240,0.0,100%
I,10590001,10600000,10595351,208,0.0,100%
I,10620001,10630000,10626155,186,0.0,100%
I,10670001,10680000,10675065,282,0.0008,100%
I,10680001,10690000,10684817,198,0.0004,100%
I,10690001,10700000,10692133,287,0.0022,100%
I,10710001,10720000,10714800,240,0.0013,100%
I,10730001,10740000,10734588,210,0.0008,100%
I,10750001,10760000,10755757,180,0.0005,100%
I,10760001,10770000,10766525,180,0.0,100%
I,10770001,10780000,10774786,180,0.0,100%
I,10780001,10790000,10786632,281,0.0016,100%
I,10790001,10800000,10794117,328,0.0,100%
I,10830001,10840000,10833003,174,0.0,100%
I,10840001,10850000,10845022,168,0.0,100%
I,10880001,10890000,10884042,179,0.0,100%
I,11060001,11070000,11064726,209,0.0,100%
I,11070001,11080000,11072791,265,0.0013,100%
I,11270001,11280000,11276686,179,0.0024,100%
I,11280001,11290000,11287086,178,0.0022,100%
I,11290001,11300000,11292504,304,0.0018,100%
I,11490001,11500000,11498168,180,0.001,100%
I,11500001,11510000,11505128,209,0.0034,100%
I,11630001,11640000,11634931,210,0.0032,100%
I,11700001,11710000,11705388,174,0.0028,100%
I,11710001,11720000,11716010,237,0.0059,100%
I,11740001,11750000,11745513,210,0.0,100%
I,11770001,11780000,11773503,178,0.001,100%
I,11900001,11910000,11907099,240,0.0021,100%
I,12010001,12020000,12015690,210,0.0,100%
I,12030001,12040000,12035386,179,0.0012,100%
I,12200001,12210000,12204723,176,0.0055,100%
I,12300001,12310000,12305934,187,0.0027,100%
I,12310001,12320000,12315483,203,0.0008,100%
I,12320001,12330000,12323807,268,0.0009,100%
I,12340001,12350000,12344080,180,0.0,100%
I,12360001,12370000,12364372,180,0.0045,100%
I,12400001,12410000,12404204,210,0.003,100%
I,12410001,12420000,12414594,240,0.0042,100%
I,12430001,12440000,12434807,180,0.002,100%
I,12500001,12510000,12503975,397,0.0014,100%
I,12540001,12550000,12545212,341,0.0013,100%
I,12550001,12560000,12554964,180,0.0044,100%
I,12610001,12620000,12614257,205,0.0011,100%
I,12670001,12680000,12673003,270,0.0027,100%
I,12690001,12700000,12695984,253,0.014,100%
I,12700001,12710000,12705730,210,0.0023,100%
I,12860001,12870000,12866853,179,0.0016,100%
I,12880001,12890000,12885593,210,0.0009,100%
I,12950001,12960000,12955427,177,0.0009,100%
I,12960001,12970000,12963273,292,0.0,100%
I,13000001,13010000,13007141,227,0.0011,100%
I,13070001,13080000,13074494,208,0.0012,100%
I,13090001,13100000,13096300,202,0.038,100%
I,13100001,13110000,13106779,175,0.0011,100%
I,13150001,13160000,13155921,210,0.0004,100%
I,13170001,13180000,13175342,180,0.0048,100%
I,13180001,13190000,13184143,263,0.0016,100%
I,13200001,13210000,13204816,210,0.0044,100%
I,13210001,13220000,13216040,258,0.0027,100%
I,13230001,13240000,13235047,240,0.001,100%
I,13290001,13300000,13296317,180,0.0005,100%
I,13300001,13310000,13306152,223,0.0025,100%
I,13310001,13320000,13315669,210,0.0004,100%
I,13350001,13360000,13353553,225,0.0022,100%
I,13380001,13390000,13386605,179,0.0029,100%
I,13490001,13500000,13493479,185,0.0,100%
I,13550001,13560000,13556090,180,0.0,100%
I,13770001,13780000,13777214,194,0.0023,100%
I,13780001,13790000,13786467,209,0.0008,100%
I,13820001,13830000,13824433,391,0.0027,100%
I,13850001,13860000,13854468,206,0.0016,100%
I,13890001,13900000,13895374,196,0.0018,100%
I,13950001,13960000,13955970,281,0.0009,100%
I,14060001,14070000,14063238,210,0.0021,100%
I,14240001,14250000,14244544,201,0.002,100%
I,14280001,14290000,14285507,240,0.0007,100%
I,14340001,14350000,14345395,179,0.0068,100%
I,14390001,14400000,14394904,180,0.0,100%
I,14540001,14550000,14543386,217,0.0004,100%
I,14550001,14560000,14556555,194,0.0,100%
I,14570001,14580000,14574440,205,0.0008,100%
I,14580001,14590000,14583609,210,0.0004,100%
I,14690001,14700000,14696411,180,0.0035,100%
I,14710001,14720000,14713670,210,0.001,100%
I,14770001,14780000,14775141,236,0.0104,100%
I,14800001,14810000,14804832,180,0.0022,100%
I,14810001,14820000,14816026,218,0.0015,100%
I,14820001,14830000,14822785,160,0.0006,100%
I,14950001,14960000,14957417,180,0.0009,100%
I,15000001,15010000,15006832,270,0.0,100%
I,15010001,15020000,15015490,330,0.0,100%
I,15040001,15050000,15047303,180,0.0009,100%
II,20001,30000,23183,270,0.0003,100%
II,40001,50000,45601,259,0.0,100%
II,50001,60000,56987,239,0.0021,100%
II,90001,100000,97298,184,0.0005,100%
II,100001,110000,105969,270,0.0,100%
II,110001,120000,115754,300,0.0003,100%
II,140001,150000,144662,192,0.0,100%
II,240001,250000,245157,177,0.0,100%
II,300001,310000,303830,180,0.0009,100%
II,320001,330000,323728,180,0.0015,100%
II,330001,340000,333072,178,0.0,100%
II,370001,380000,372843,160,0.0006,100%
II,410001,420000,415210,203,0.0,100%
II,450001,460000,457052,196,0.0025,100%
II,530001,540000,536180,210,0.0004,100%
II,560001,570000,566046,210,0.0009,100%
II,630001,640000,635497,163,0.0007,100%
II,720001,730000,723316,181,0.001,100%
II,800001,810000,803978,163,0.0026,100%
II,840001,850000,845342,160,0.0033,100%
II,860001,870000,863692,183,0.004,100%
II,920001,930000,924427,180,0.0018,100%
II,1090001,1100000,1095007,178,0.0009,100%
II,1370001,1380000,1376635,175,0.0,100%
II,1600001,1610000,1606148,257,0.025,100%
II,1710001,1720000,1715313,183,0.0052,100%
II,1720001,1730000,1725781,186,0.0039,100%
II,2200001,2210000,2204332,205,0.0033,100%
II,2460001,2470000,2464292,272,0.0082,100%
II,2760001,2770000,2764497,166,0.0005,100%
II,2770001,2780000,2774009,207,0.0033,100%
II,3130001,3140000,3135432,208,0.0026,100%
II,3260001,3270000,3265187,207,0.003,100%
II,3400001,3410000,3403537,180,0.0152,100%
II,3440001,3450000,3445802,254,0.001,100%
II,3450001,3460000,3454706,165,0.0043,100%
II,3470001,3480000,3475102,180,0.0069,100%
II,3510001,3520000,3516210,205,0.0017,100%
II,3570001,3580000,3575027,240,0.0,100%
II,3610001,3620000,3613655,210,0.0079,100%
II,3620001,3630000,3625972,215,0.0097,100%
II,3630001,3640000,3633024,294,0.0049,100%
II,3700001,3710000,3705434,204,0.0011,100%
II,3770001,3780000,3775005,197,0.0041,100%
II,3900001,3910000,3906320,209,0.0081,100%
II,3930001,3940000,3934033,177,0.0,100%
II,3970001,3980000,3974437,209,0.0029,100%
II,4030001,4040000,4034963,216,0.0008,100%
II,4060001,4070000,4062899,207,0.0,100%
II,4070001,4080000,4074784,180,0.0005,100%
II,4160001,4170000,4163436,177,0.0022,100%
II,4310001,4320000,4312760,164,0.0,100%
II,4420001,4430000,4426459,180,0.0016,100%
II,4470001,4480000,4477204,180,0.0016,100%
II,4500001,4510000,4502991,171,0.0025,100%
II,4570001,4580000,4573340,194,0.0004,100%
II,4580001,4590000,4584248,296,0.0014,100%
II,4600001,4610000,4605427,180,0.0,100%
II,4660001,4670000,4662788,180,0.0,100%
II,4740001,4750000,4743805,203,0.0,100%
II,4770001,4780000,4775346,210,0.002,100%
II,4790001,4800000,4795082,210,0.0,100%
II,4840001,4850000,4845288,180,0.0005,100%
II,4860001,4870000,4865352,239,0.0028,100%
II,4910001,4920000,4914487,176,0.0,100%
II,4920001,4930000,4924092,264,0.0016,100%
II,4940001,4950000,4945384,180,0.0009,100%
II,4950001,4960000,4957572,270,0.0003,100%
II,5000001,5010000,5005865,210,0.0,100%
II,5040001,5050000,5043006,180,0.0,100%
II,5060001,5070000,5066094,240,0.0003,100%
II,5090001,5100000,5096103,376,0.0095,100%
II,5130001,5140000,5136714,160,0.0,100%
II,5310001,5320000,5314980,197,0.0008,100%
II,5350001,5360000,5356951,180,0.0032,100%
II,5360001,5370000,5366024,180,0.0027,100%
II,5410001,5420000,5415827,239,0.0014,100%
II,5450001,5460000,5456180,180,0.0009,100%
II,5470001,5480000,5474928,240,0.0003,100%
II,5490001,5500000,5495156,300,0.0017,100%
II,5510001,5520000,5514804,180,0.0005,100%
II,5610001,5620000,5614799,210,0.0015,100%
II,5620001,5630000,5625100,311,0.0,100%
II,5630001,5640000,5635008,270,0.0,100%
II,5680001,5690000,5685971,276,0.0017,100%
II,5690001,5700000,5692911,210,0.0008,100%
II,5700001,5710000,5704979,203,0.0004,100%
II,5720001,5730000,5725238,300,0.0013,100%
II,5740001,5750000,5745797,210,0.0022,100%
II,5770001,5780000,5775503,180,0.0,100%
II,5790001,5800000,5794514,178,0.0029,100%
II,5800001,5810000,5804182,180,0.0013,100%
II,5810001,5820000,5815738,210,0.0057,100%
II,5830001,5840000,5834909,300,0.0,100%
II,5850001,5860000,5855704,180,0.0,100%
II,5870001,5880000,5876291,180,0.0005,100%
II,5880001,5890000,5885340,276,0.0013,100%
II,5890001,5900000,5892970,180,0.0,100%
II,5940001,5950000,5943702,180,0.0005,100%
II,6030001,6040000,6035675,208,0.0,100%
II,6080001,6090000,6086038,209,0.0043,100%
II,6110001,6120000,6114471,240,0.0007,100%
II,6190001,6200000,6191430,202,0.0022,100%
II,6210001,6220000,6215599,162,0.0,100%
II,6220001,6230000,6223612,180,0.0005,100%
II,6270001,6280000,6277482,270,0.0011,100%
II,6280001,6290000,6284673,192,0.0,100%
II,6350001,6360000,6355799,180,0.0,100%
II,6360001,6370000,6365046,210,0.0,100%
II,6390001,6400000,6395142,240,0.0003,100%
II,6420001,6430000,6427382,175,0.0005,100%
II,6430001,6440000,6436224,240,0.0007,100%
II,6540001,6550000,6545374,180,0.0,100%
II,6550001,6560000,6553277,179,0.0005,100%
II,6610001,6620000,6614804,239,0.001,100%
II,6640001,6650000,6642851,199,0.0004,100%
II,6720001,6730000,6723898,180,0.0,100%
II,6740001,6750000,6745596,180,0.0,100%
II,6770001,6780000,6775950,270,0.0003,100%
II,6780001,6790000,6785822,235,0.0,100%
II,6810001,6820000,6815497,270,0.001,100%
II,6830001,6840000,6834794,180,0.0023,100%
II,6840001,6850000,6846608,180,0.0,100%
II,6870001,6880000,6876204,180,0.0,100%
II,6880001,6890000,6884270,209,0.0024,100%
II,6890001,6900000,6893856,210,0.0026,100%
II,6920001,6930000,6925121,240,0.0007,100%
II,6950001,6960000,6956229,236,0.0,100%
II,6960001,6970000,6964277,210,0.0,100%
II,6990001,7000000,6995585,162,0.0046,100%
II,7000001,7010000,7005414,300,0.0017,100%
II,7020001,7030000,7022578,180,0.0012,100%
II,7060001,7070000,7065568,210,0.0,100%
II,7100001,7110000,7103023,210,0.0,100%
II,7110001,7120000,7114270,210,0.0004,100%
II,7180001,7190000,7185782,180,0.0,100%
II,7190001,7200000,7195254,240,0.0003,100%
II,7240001,7250000,7245842,210,0.0004,100%
II,7250001,7260000,7254341,210,0.0,100%
II,7270001,7280000,7275774,240,0.0,100%
II,7280001,7290000,7287615,210,0.0004,100%
II,7360001,7370000,7363224,210,0.0041,100%
II,7370001,7380000,7376469,259,0.0026,100%
II,7400001,7410000,7405659,226,0.0036,100%
II,7460001,7470000,7466147,188,0.0,100%
II,7530001,7540000,7535726,270,0.0,100%
II,7660001,7670000,7665781,180,0.0,100%
II,7680001,7690000,7686464,210,0.0,100%
II,7730001,7740000,7733553,180,0.0,100%
II,7740001,7750000,7745173,236,0.0,100%
II,7770001,7780000,7773735,240,0.0,100%
II,7790001,7800000,7795950,180,0.0,100%
II,7820001,7830000,7824467,180,0.0,100%
II,7840001,7850000,7843194,180,0.0005,100%
II,7850001,7860000,7855283,208,0.0005,100%
II,7860001,7870000,7863670,360,0.0002,100%
II,7930001,7940000,7932627,209,0.0,100%
II,7940001,7950000,7945254,210,0.0004,100%
II,7960001,7970000,7965313,204,0.0004,100%
II,8000001,8010000,8005032,178,0.003,100%
II,8010001,8020000,8016847,189,0.0,100%
II,8040001,8050000,8046313,180,0.0016,100%
II,8050001,8060000,8055630,210,0.0,100%
II,8080001,8090000,8083679,210,0.0004,100%
II,8110001,8120000,8114482,240,0.0,100%
II,8130001,8140000,8135783,210,0.0008,100%
II,8160001,8170000,8164461,240,0.0003,100%
II,8170001,8180000,8175928,209,0.0,100%
II,8180001,8190000,8185902,270,0.0016,100%
II,8190001,8200000,8195476,180,0.0,100%
II,8210001,8220000,8214442,210,0.0014,100%
II,8230001,8240000,8235351,270,0.0,100%
II,8270001,8280000,8273676,324,0.0015,100%
II,8330001,8340000,8335800,240,0.0,100%
II,8380001,8390000,8382865,218,0.0,100%
II,8390001,8400000,8395581,186,0.0,100%
II,8420001,8430000,8426098,179,0.0,100%
II,8440001,8450000,8445211,171,0.0,100%
II,8480001,8490000,8484568,180,0.0009,100%
II,8490001,8500000,8494636,276,0.0003,100%
II,8520001,8530000,8525464,270,0.0,100%
II,8540001,8550000,8545380,180,0.0,100%
II,8550001,8560000,8556420,210,0.0004,100%
II,8580001,8590000,8585675,180,0.0,100%
II,8600001,8610000,8604476,180,0.0,100%
II,8640001,8650000,8644765,210,0.0004,100%
II,8650001,8660000,8654993,258,0.0009,100%
II,8660001,8670000,8666022,390,0.0006,100%
II,8670001,8680000,8673348,180,0.0005,100%
II,8710001,8720000,8715351,210,0.0,100%
II,8720001,8730000,8724485,180,0.0,100%
II,8770001,8780000,8775318,180,0.0005,100%
II,8810001,8820000,8814116,180,0.0,100%
II,8830001,8840000,8832015,231,0.0,100%
II,8840001,8850000,8844978,180,0.0,100%
II,8850001,8860000,8854392,240,0.0003,100%
II,8910001,8920000,8913975,176,0.0005,100%
II,8930001,8940000,8935387,180,0.0,100%
II,8950001,8960000,8956206,210,0.0015,100%
II,8970001,8980000,8973791,210,0.0,100%
II,8990001,9000000,8996476,240,0.0016,100%
II,9010001,9020000,9015939,210,0.0016,100%
II,9030001,9040000,9036512,300,0.0005,100%
II,9040001,9050000,9043922,243,0.0,100%
II,9080001,9090000,9085110,269,0.0025,100%
II,9110001,9120000,9114901,180,0.0,100%
II,9120001,9130000,9126961,160,0.0006,100%
II,9160001,9170000,9165548,240,0.0007,100%
II,9210001,9220000,9214346,240,0.0,100%
II,9230001,9240000,9236249,270,0.0009,100%
II,9310001,9320000,9313464,270,0.0003,100%
II,9330001,9340000,9334442,300,0.0003,100%
II,9420001,9430000,9426138,180,0.0,100%
II,9430001,9440000,9434345,180,0.0009,100%
II,9470001,9480000,9474622,210,0.0,100%
II,9490001,9500000,9495350,297,0.0008,100%
II,9510001,9520000,9515736,209,0.0,100%
II,9540001,9550000,9545226,239,0.0007,100%
II,9570001,9580000,9576214,240,0.0007,100%
II,9600001,9610000,9606704,180,0.0005,100%
II,9610001,9620000,9613815,180,0.0,100%
II,9630001,9640000,9637479,210,0.0,100%
II,9640001,9650000,9644050,210,0.0021,100%
II,9700001,9710000,9702714,172,0.001,100%
II,9780001,9790000,9783451,210,0.0,100%
II,9850001,9860000,9854961,240,0.0018,100%
II,9860001,9870000,9864675,338,0.0,100%
II,9880001,9890000,9886097,180,0.0,100%
II,9890001,9900000,9894738,210,0.0,100%
II,9940001,9950000,9944476,256,0.0015,100%
II,9980001,9990000,9985750,210,0.0005,100%
II,10030001,10040000,10035293,180,0.0,100%
II,10040001,10050000,10045685,240,0.002,100%
II,10060001,10070000,10065473,346,0.0002,100%
II,10070001,10080000,10075776,192,0.0,100%
II,10090001,10100000,10092302,180,0.0,100%
II,10130001,10140000,10133252,160,0.002,100%
II,10170001,10180000,10176730,240,0.0,100%
II,10220001,10230000,10224592,236,0.0029,100%
II,10230001,10240000,10234677,179,0.0025,100%
II,10260001,10270000,10265458,238,0.0,100%
II,10270001,10280000,10275833,180,0.0,100%
II,10290001,10300000,10294641,240,0.0004,100%
II,10300001,10310000,10305566,300,0.0014,100%
II,10340001,10350000,10347385,160,0.0,100%
II,10390001,10400000,10397169,270,0.0018,100%
II,10430001,10440000,10433721,180,0.0019,100%
II,10450001,10460000,10454438,179,0.0023,100%
II,10460001,10470000,10464862,180,0.0029,100%
II,10480001,10490000,10484452,225,0.0022,100%
II,10510001,10520000,10515254,180,0.0,100%
II,10530001,10540000,10534193,163,0.0,100%
II,10580001,10590000,10585706,253,0.0,100%
II,10590001,10600000,10595843,198,0.0022,100%
II,10630001,10640000,10635603,180,0.0016,100%
II,10660001,10670000,10664702,209,0.0012,100%
II,10670001,10680000,10675208,177,0.0013,100%
II,10680001,10690000,10681484,180,0.0,100%
II,10690001,10700000,10694840,180,0.0,100%
II,10700001,10710000,10703731,180,0.0,100%
II,10720001,10730000,10726048,210,0.0011,100%
