scaffold,start,end,mid,sites,pi_all,species,gen_region
I,570001,580000,572956,665,0.0009,elegans,genic
I,580001,590000,586651,714,0.0,elegans,genic
I,590001,600000,595290,973,0.001,elegans,genic
I,610001,620000,618867,964,0.001,elegans,genic
I,620001,630000,621562,774,0.0017,elegans,genic
I,630001,640000,633964,625,0.002,elegans,genic
I,640001,650000,645692,974,0.0078,elegans,genic
I,650001,660000,653431,841,0.0002,elegans,genic
I,660001,670000,667029,889,0.0002,elegans,genic
I,670001,680000,674917,1603,0.0024,elegans,genic
I,680001,690000,686353,1432,0.0021,elegans,genic
I,690001,700000,691186,971,0.0042,elegans,genic
I,700001,710000,708125,253,0.0004,elegans,genic
I,710001,720000,717487,690,0.0011,elegans,genic
I,720001,730000,724314,1002,0.0016,elegans,genic
I,730001,740000,730806,661,0.0007,elegans,genic
I,740001,750000,744930,748,0.0007,elegans,genic
I,750001,760000,754460,642,0.0,elegans,genic
I,760001,770000,765853,433,0.0,elegans,genic
I,770001,780000,774427,891,0.002,elegans,genic
I,800001,810000,807072,2029,0.0043,elegans,genic
I,810001,820000,815888,1162,0.0005,elegans,genic
I,820001,830000,824564,1242,0.0008,elegans,genic
I,830001,840000,838082,172,0.0021,elegans,genic
I,840001,850000,846122,461,0.0096,elegans,genic
I,860001,870000,864856,522,0.0028,elegans,genic
I,870001,880000,875271,517,0.0015,elegans,genic
I,880001,890000,884561,1304,0.0014,elegans,genic
I,890001,900000,894729,226,0.0,elegans,genic
I,900001,910000,908455,1200,0.0032,elegans,genic
I,910001,920000,913023,1829,0.0009,elegans,genic
I,920001,930000,920362,280,0.0,elegans,genic
I,990001,1000000,990840,579,0.0006,elegans,genic
I,1000001,1010000,1006584,2151,0.0022,elegans,genic
I,1010001,1020000,1012066,452,0.0012,elegans,genic
I,1030001,1040000,1034245,2025,0.0054,elegans,genic
I,1040001,1050000,1044611,373,0.0002,elegans,genic
I,1050001,1060000,1056591,1017,0.0041,elegans,genic
I,1060001,1070000,1064515,1106,0.0005,elegans,genic
I,1070001,1080000,1073316,767,0.0017,elegans,genic
I,1080001,1090000,1084832,1409,0.0013,elegans,genic
I,1090001,1100000,1090657,357,0.0021,elegans,genic
I,1110001,1120000,1113614,545,0.0026,elegans,genic
I,1120001,1130000,1128992,513,0.0018,elegans,genic
I,1130001,1140000,1138281,788,0.0036,elegans,genic
I,1140001,1150000,1143211,1452,0.0062,elegans,genic
I,1150001,1160000,1157376,330,0.0026,elegans,genic
I,1160001,1170000,1167360,1234,0.0042,elegans,genic
I,1170001,1180000,1170964,341,0.0041,elegans,genic
I,1200001,1210000,1205893,785,0.0039,elegans,genic
I,1210001,1220000,1216243,1483,0.0084,elegans,genic
I,1220001,1230000,1224016,234,0.0,elegans,genic
I,1230001,1240000,1233929,1116,0.0019,elegans,genic
I,1240001,1250000,1243208,1748,0.0025,elegans,genic
I,1250001,1260000,1256198,1513,0.0017,elegans,genic
I,1260001,1270000,1264288,603,0.0011,elegans,genic
I,1270001,1280000,1272505,396,0.0016,elegans,genic
I,1280001,1290000,1287630,454,0.002,elegans,genic
I,1300001,1310000,1306577,405,0.0015,elegans,genic
I,1310001,1320000,1315996,490,0.0008,elegans,genic
I,1320001,1330000,1328033,321,0.0,elegans,genic
I,1330001,1340000,1337865,627,0.0032,elegans,genic
I,1340001,1350000,1344210,1077,0.0007,elegans,genic
I,1360001,1370000,1368061,912,0.0023,elegans,genic
I,1370001,1380000,1373137,534,0.0041,elegans,genic
I,1390001,1400000,1397014,259,0.0,elegans,genic
I,1400001,1410000,1407176,521,0.0007,elegans,genic
I,1410001,1420000,1416845,369,0.0009,elegans,genic
I,1420001,1430000,1420388,319,0.0,elegans,genic
I,1440001,1450000,1441028,309,0.0005,elegans,genic
I,1460001,1470000,1465118,2731,0.0045,elegans,genic
I,1470001,1480000,1474033,637,0.0079,elegans,genic
I,1480001,1490000,1486583,440,0.0008,elegans,genic
I,1490001,1500000,1493701,979,0.0066,elegans,genic
I,1500001,1510000,1504454,497,0.0161,elegans,genic
I,1520001,1530000,1525683,701,0.0032,elegans,genic
I,1540001,1550000,1545671,468,0.0011,elegans,genic
I,1550001,1560000,1554524,1130,0.0037,elegans,genic
I,1570001,1580000,1575866,626,0.0021,elegans,genic
I,1580001,1590000,1585922,368,0.0026,elegans,genic
I,1590001,1600000,1591622,1278,0.0022,elegans,genic
I,1610001,1620000,1612289,209,0.0147,elegans,genic
I,1620001,1630000,1625461,995,0.0055,elegans,genic
I,1630001,1640000,1634451,541,0.0033,elegans,genic
I,1640001,1650000,1644903,1414,0.002,elegans,genic
I,1650001,1660000,1656388,976,0.0039,elegans,genic
I,1660001,1670000,1665439,1410,0.0032,elegans,genic
I,1670001,1680000,1672746,1151,0.0029,elegans,genic
I,1680001,1690000,1682824,646,0.002,elegans,genic
I,1690001,1700000,1696096,565,0.0009,elegans,genic
I,1700001,1710000,1702824,944,0.0013,elegans,genic
I,1710001,1720000,1711701,651,0.0011,elegans,genic
I,1720001,1730000,1725496,1259,0.0031,elegans,genic
I,1730001,1740000,1736937,1128,0.0014,elegans,genic
I,1740001,1750000,1745941,221,0.0015,elegans,genic
I,1750001,1760000,1752947,550,0.0011,elegans,genic
I,1780001,1790000,1783412,1683,0.0025,elegans,genic
I,1800001,1810000,1804479,425,0.0004,elegans,genic
I,1810001,1820000,1816492,1377,0.0016,elegans,genic
I,1820001,1830000,1822972,1104,0.0015,elegans,genic
I,1830001,1840000,1834790,1296,0.0001,elegans,genic
I,1840001,1850000,1846735,458,0.0012,elegans,genic
I,1850001,1860000,1850282,190,0.0009,elegans,genic
I,1860001,1870000,1865917,925,0.0036,elegans,genic
I,1880001,1890000,1882554,747,0.0009,elegans,genic
I,1890001,1900000,1896062,402,0.0006,elegans,genic
I,1910001,1920000,1914406,2906,0.0051,elegans,genic
I,1920001,1930000,1927916,856,0.0001,elegans,genic
I,1930001,1940000,1937721,1098,0.0044,elegans,genic
I,1940001,1950000,1943421,1511,0.0032,elegans,genic
I,1960001,1970000,1969050,460,0.0025,elegans,genic
I,1970001,1980000,1970126,251,0.0003,elegans,genic
I,1980001,1990000,1981457,181,0.0005,elegans,genic
I,1990001,2000000,1992631,609,0.001,elegans,genic
I,2000001,2010000,2004554,571,0.0011,elegans,genic
I,2020001,2030000,2026535,296,0.0024,elegans,genic
I,2030001,2040000,2033531,902,0.0014,elegans,genic
I,2040001,2050000,2049452,623,0.0001,elegans,genic
I,2060001,2070000,2068112,730,0.0012,elegans,genic
I,2070001,2080000,2072140,677,0.0017,elegans,genic
I,2080001,2090000,2087191,845,0.0009,elegans,genic
I,2090001,2100000,2098366,668,0.0029,elegans,genic
I,2100001,2110000,2103948,1423,0.0047,elegans,genic
I,2110001,2120000,2114074,1845,0.0022,elegans,genic
I,2130001,2140000,2137520,266,0.0013,elegans,genic
I,2140001,2150000,2141018,349,0.0009,elegans,genic
I,2160001,2170000,2168323,251,0.003,elegans,genic
I,2180001,2190000,2188436,306,0.0028,elegans,genic
I,2190001,2200000,2194092,1038,0.0029,elegans,genic
I,2200001,2210000,2202181,438,0.0023,elegans,genic
I,2210001,2220000,2216857,703,0.0011,elegans,genic
I,2220001,2230000,2225050,883,0.0053,elegans,genic
I,2230001,2240000,2236507,2121,0.0026,elegans,genic
I,2250001,2260000,2257007,839,0.0003,elegans,genic
I,2260001,2270000,2265615,883,0.0018,elegans,genic
I,2280001,2290000,2282317,289,0.0074,elegans,genic
I,2290001,2300000,2295306,723,0.0017,elegans,genic
I,2300001,2310000,2303475,3567,0.0007,elegans,genic
I,2310001,2320000,2314613,2601,0.0016,elegans,genic
I,2320001,2330000,2324525,670,0.0026,elegans,genic
I,2350001,2360000,2358528,267,0.0,elegans,genic
I,2360001,2370000,2367686,377,0.0195,elegans,genic
I,2370001,2380000,2371538,1120,0.0046,elegans,genic
I,2380001,2390000,2387677,640,0.0028,elegans,genic
I,2390001,2400000,2390522,560,0.0048,elegans,genic
I,2400001,2410000,2407850,863,0.0044,elegans,genic
I,2410001,2420000,2416682,525,0.0047,elegans,genic
I,2420001,2430000,2425222,758,0.0025,elegans,genic
I,2430001,2440000,2431624,1360,0.0009,elegans,genic
I,2450001,2460000,2453442,1564,0.0017,elegans,genic
I,2460001,2470000,2463043,509,0.0091,elegans,genic
I,2470001,2480000,2478510,436,0.0013,elegans,genic
I,2480001,2490000,2487287,2016,0.0061,elegans,genic
I,2490001,2500000,2494785,432,0.0002,elegans,genic
I,2530001,2540000,2535775,1006,0.0036,elegans,genic
I,2540001,2550000,2541912,326,0.0012,elegans,genic
I,2550001,2560000,2554785,1225,0.0014,elegans,genic
I,2570001,2580000,2573750,356,0.0017,elegans,genic
I,2580001,2590000,2588709,1214,0.0019,elegans,genic
I,2590001,2600000,2592750,1519,0.0011,elegans,genic
I,2610001,2620000,2615995,716,0.0015,elegans,genic
I,2620001,2630000,2623344,1959,0.0012,elegans,genic
I,2630001,2640000,2634395,330,0.0027,elegans,genic
I,2640001,2650000,2644133,882,0.0021,elegans,genic
I,2670001,2680000,2677429,859,0.0011,elegans,genic
I,2680001,2690000,2683411,1197,0.0009,elegans,genic
I,2700001,2710000,2701127,216,0.0051,elegans,genic
I,2710001,2720000,2714209,1915,0.0005,elegans,genic
I,2720001,2730000,2724676,413,0.0033,elegans,genic
I,2730001,2740000,2736674,619,0.0001,elegans,genic
I,2740001,2750000,2741803,471,0.0009,elegans,genic
I,2750001,2760000,2757817,852,0.0019,elegans,genic
I,2770001,2780000,2775423,512,0.002,elegans,genic
I,2780001,2790000,2784980,2042,0.0016,elegans,genic
I,2790001,2800000,2798390,431,0.0021,elegans,genic
I,2800001,2810000,2806373,1795,0.0047,elegans,genic
I,2810001,2820000,2812980,1805,0.001,elegans,genic
I,2820001,2830000,2826323,401,0.0049,elegans,genic
I,2840001,2850000,2846951,1118,0.0016,elegans,genic
I,2850001,2860000,2854375,706,0.0005,elegans,genic
I,2870001,2880000,2876208,202,0.0,elegans,genic
I,2880001,2890000,2886390,1607,0.0004,elegans,genic
I,2890001,2900000,2894626,1200,0.0007,elegans,genic
I,2900001,2910000,2909917,166,0.0,elegans,genic
I,2910001,2920000,2915787,2063,0.002,elegans,genic
I,2920001,2930000,2924541,2015,0.0012,elegans,genic
I,2940001,2950000,2949771,282,0.0013,elegans,genic
I,2950001,2960000,2953859,2218,0.0028,elegans,genic
I,2980001,2990000,2985298,869,0.0012,elegans,genic
I,2990001,3000000,2995337,1193,0.0015,elegans,genic
I,3000001,3010000,3006089,303,0.0021,elegans,genic
I,3010001,3020000,3012648,2109,0.0013,elegans,genic
I,3020001,3030000,3024895,452,0.002,elegans,genic
I,3030001,3040000,3034799,1595,0.0011,elegans,genic
I,3040001,3050000,3042295,683,0.0017,elegans,genic
I,3050001,3060000,3057870,940,0.003,elegans,genic
I,3060001,3070000,3066067,1088,0.0002,elegans,genic
I,3070001,3080000,3077468,805,0.0017,elegans,genic
I,3080001,3090000,3083483,498,0.0016,elegans,genic
I,3090001,3100000,3093301,1039,0.0018,elegans,genic
I,3100001,3110000,3106640,2113,0.0019,elegans,genic
I,3110001,3120000,3116428,450,0.0,elegans,genic
I,3130001,3140000,3139682,300,0.0,elegans,genic
I,3140001,3150000,3143194,776,0.0002,elegans,genic
I,3150001,3160000,3154819,1781,0.001,elegans,genic
I,3160001,3170000,3162228,326,0.0011,elegans,genic
I,3170001,3180000,3175840,254,0.0004,elegans,genic
I,3180001,3190000,3184784,1753,0.0016,elegans,genic
I,3190001,3200000,3196532,1039,0.0015,elegans,genic
I,3210001,3220000,3211320,537,0.0011,elegans,genic
I,3220001,3230000,3226747,610,0.0013,elegans,genic
I,3230001,3240000,3235000,556,0.0,elegans,genic
I,3240001,3250000,3246619,1456,0.0008,elegans,genic
I,3250001,3260000,3253594,1288,0.0013,elegans,genic
I,3260001,3270000,3263451,1619,0.0008,elegans,genic
I,3270001,3280000,3275728,1277,0.001,elegans,genic
I,3290001,3300000,3292828,872,0.0006,elegans,genic
I,3300001,3310000,3303557,1491,0.0002,elegans,genic
I,3310001,3320000,3318640,315,0.0005,elegans,genic
I,3320001,3330000,3325015,480,0.0009,elegans,genic
I,3340001,3350000,3345821,608,0.001,elegans,genic
I,3350001,3360000,3357144,1266,0.001,elegans,genic
I,3360001,3370000,3367758,756,0.0006,elegans,genic
I,3370001,3380000,3371018,476,0.0006,elegans,genic
I,3380001,3390000,3385059,1160,0.0037,elegans,genic
I,3390001,3400000,3394546,1535,0.0049,elegans,genic
I,3400001,3410000,3402933,1055,0.0016,elegans,genic
I,3410001,3420000,3412692,475,0.0024,elegans,genic
I,3420001,3430000,3423379,664,0.0005,elegans,genic
I,3430001,3440000,3436461,2809,0.0016,elegans,genic
I,3440001,3450000,3443585,1565,0.001,elegans,genic
I,3450001,3460000,3455280,1645,0.0008,elegans,genic
I,3460001,3470000,3469396,457,0.0002,elegans,genic
I,3470001,3480000,3474860,1271,0.0011,elegans,genic
I,3480001,3490000,3485589,1042,0.0006,elegans,genic
I,3490001,3500000,3494779,839,0.0001,elegans,genic
I,3500001,3510000,3506182,1964,0.0012,elegans,genic
I,3510001,3520000,3511135,1040,0.0016,elegans,genic
I,3520001,3530000,3525026,1617,0.0017,elegans,genic
I,3530001,3540000,3539270,933,0.0011,elegans,genic
I,3540001,3550000,3542578,677,0.001,elegans,genic
I,3550001,3560000,3556092,2365,0.0018,elegans,genic
I,3560001,3570000,3564126,2056,0.0017,elegans,genic
I,3570001,3580000,3573069,1682,0.0013,elegans,genic
I,3580001,3590000,3583349,1015,0.0006,elegans,genic
I,3590001,3600000,3596328,623,0.0003,elegans,genic
I,3600001,3610000,3603212,418,0.0006,elegans,genic
I,3610001,3620000,3613734,2820,0.0014,elegans,genic
I,3620001,3630000,3626203,735,0.0002,elegans,genic
I,3630001,3640000,3633864,1340,0.0011,elegans,genic
I,3640001,3650000,3643282,1499,0.0004,elegans,genic
I,3650001,3660000,3652608,188,0.0,elegans,genic
I,3660001,3670000,3667661,1037,0.001,elegans,genic
I,3680001,3690000,3684243,781,0.0011,elegans,genic
I,3690001,3700000,3694803,2965,0.0004,elegans,genic
I,3700001,3710000,3708509,591,0.0008,elegans,genic
I,3710001,3720000,3715551,2937,0.0008,elegans,genic
I,3720001,3730000,3727356,427,0.0,elegans,genic
I,3730001,3740000,3734763,2600,0.0006,elegans,genic
I,3740001,3750000,3742074,427,0.0,elegans,genic
I,3750001,3760000,3752376,1139,0.0009,elegans,genic
I,3760001,3770000,3769822,301,0.0,elegans,genic
I,3770001,3780000,3776593,1580,0.0008,elegans,genic
I,3780001,3790000,3785391,1347,0.0008,elegans,genic
I,3790001,3800000,3797942,707,0.0006,elegans,genic
I,3800001,3810000,3805954,792,0.0013,elegans,genic
I,3810001,3820000,3812637,1427,0.0008,elegans,genic
I,3820001,3830000,3824524,1233,0.001,elegans,genic
I,3830001,3840000,3834426,2745,0.0014,elegans,genic
I,3840001,3850000,3840541,924,0.0007,elegans,genic
I,3850001,3860000,3859151,887,0.0003,elegans,genic
I,3860001,3870000,3865249,1289,0.0005,elegans,genic
I,3870001,3880000,3872907,906,0.0006,elegans,genic
I,3880001,3890000,3884388,954,0.0008,elegans,genic
I,3890001,3900000,3896772,659,0.0005,elegans,genic
I,3900001,3910000,3905178,1177,0.0009,elegans,genic
I,3910001,3920000,3914691,1128,0.0006,elegans,genic
I,3920001,3930000,3921737,1188,0.0005,elegans,genic
I,3930001,3940000,3937231,2542,0.0005,elegans,genic
I,3940001,3950000,3944038,2736,0.0004,elegans,genic
I,3950001,3960000,3950824,1245,0.0002,elegans,genic
I,3970001,3980000,3975894,422,0.0005,elegans,genic
I,3980001,3990000,3985716,887,0.0,elegans,genic
I,3990001,4000000,3995977,477,0.0003,elegans,genic
I,4000001,4010000,4003560,889,0.0008,elegans,genic
I,4010001,4020000,4017470,1090,0.0001,elegans,genic
I,4020001,4030000,4025570,1873,0.0003,elegans,genic
I,4030001,4040000,4037113,1181,0.0011,elegans,genic
I,4040001,4050000,4044911,1106,0.0002,elegans,genic
I,4050001,4060000,4056247,1524,0.0009,elegans,genic
I,4060001,4070000,4066828,1842,0.0005,elegans,genic
I,4070001,4080000,4073866,2468,0.0004,elegans,genic
I,4080001,4090000,4084524,2023,0.0004,elegans,genic
I,4090001,4100000,4097263,869,0.001,elegans,genic
I,4100001,4110000,4106517,2165,0.0006,elegans,genic
I,4110001,4120000,4113677,1848,0.0006,elegans,genic
I,4120001,4130000,4126386,1474,0.0007,elegans,genic
I,4130001,4140000,4135247,1540,0.0004,elegans,genic
I,4140001,4150000,4147862,303,0.0003,elegans,genic
I,4150001,4160000,4153740,1092,0.0013,elegans,genic
I,4160001,4170000,4165703,1233,0.0013,elegans,genic
I,4180001,4190000,4186173,1250,0.0002,elegans,genic
I,4190001,4200000,4194095,1738,0.0009,elegans,genic
I,4200001,4210000,4206367,2905,0.0007,elegans,genic
I,4210001,4220000,4212763,1517,0.0003,elegans,genic
I,4230001,4240000,4235077,2158,0.0008,elegans,genic
I,4240001,4250000,4245797,1714,0.0004,elegans,genic
I,4250001,4260000,4254643,2050,0.0,elegans,genic
I,4260001,4270000,4266924,1363,0.0008,elegans,genic
I,4270001,4280000,4273823,541,0.0,elegans,genic
I,4300001,4310000,4303514,633,0.0008,elegans,genic
I,4310001,4320000,4318718,278,0.0025,elegans,genic
I,4320001,4330000,4325665,1389,0.0007,elegans,genic
I,4330001,4340000,4333502,2155,0.0004,elegans,genic
I,4340001,4350000,4340271,373,0.001,elegans,genic
I,4350001,4360000,4358963,1116,0.0006,elegans,genic
I,4360001,4370000,4365458,841,0.001,elegans,genic
I,4370001,4380000,4375997,281,0.0004,elegans,genic
I,4380001,4390000,4383878,2181,0.0004,elegans,genic
I,4390001,4400000,4395547,4116,0.0002,elegans,genic
I,4400001,4410000,4403228,453,0.0005,elegans,genic
I,4410001,4420000,4413506,1638,0.0006,elegans,genic
I,4420001,4430000,4424416,2075,0.0004,elegans,genic
I,4430001,4440000,4434236,1737,0.0012,elegans,genic
I,4440001,4450000,4446248,1248,0.0004,elegans,genic
I,4450001,4460000,4454546,1894,0.0008,elegans,genic
I,4460001,4470000,4464036,2203,0.0025,elegans,genic
I,4480001,4490000,4486096,915,0.0005,elegans,genic
I,4490001,4500000,4493417,1268,0.0003,elegans,genic
I,4500001,4510000,4503887,1278,0.0001,elegans,genic
I,4510001,4520000,4515332,1339,0.0006,elegans,genic
I,4520001,4530000,4525357,636,0.0014,elegans,genic
I,4530001,4540000,4538365,685,0.0005,elegans,genic
I,4550001,4560000,4556684,878,0.0003,elegans,genic
I,4560001,4570000,4564497,1480,0.0006,elegans,genic
I,4570001,4580000,4577550,639,0.0009,elegans,genic
I,4580001,4590000,4584225,2008,0.0008,elegans,genic
I,4590001,4600000,4599898,204,0.0,elegans,genic
I,4600001,4610000,4604677,1442,0.0004,elegans,genic
I,4610001,4620000,4612892,2101,0.0005,elegans,genic
I,4620001,4630000,4622357,1747,0.0004,elegans,genic
I,4630001,4640000,4632982,731,0.0001,elegans,genic
I,4640001,4650000,4641992,407,0.0,elegans,genic
I,4650001,4660000,4655556,2363,0.0008,elegans,genic
I,4660001,4670000,4666785,1431,0.0008,elegans,genic
I,4670001,4680000,4674254,628,0.0005,elegans,genic
I,4680001,4690000,4684096,861,0.001,elegans,genic
I,4690001,4700000,4694037,2392,0.0002,elegans,genic
I,4700001,4710000,4706829,720,0.0008,elegans,genic
I,4710001,4720000,4716024,798,0.0015,elegans,genic
I,4720001,4730000,4724470,1568,0.0002,elegans,genic
I,4730001,4740000,4736072,2648,0.0002,elegans,genic
I,4740001,4750000,4741870,945,0.0004,elegans,genic
I,4750001,4760000,4755327,2240,0.0011,elegans,genic
I,4770001,4780000,4775692,1229,0.0004,elegans,genic
I,4780001,4790000,4785610,1035,0.0004,elegans,genic
I,4790001,4800000,4791103,932,0.0006,elegans,genic
I,4800001,4810000,4804177,1900,0.0004,elegans,genic
I,4820001,4830000,4825267,3618,0.0004,elegans,genic
I,4830001,4840000,4833290,1550,0.0003,elegans,genic
I,4840001,4850000,4844757,1282,0.0004,elegans,genic
I,4850001,4860000,4853969,1809,0.0001,elegans,genic
I,4860001,4870000,4863382,1275,0.0003,elegans,genic
I,4880001,4890000,4886219,1654,0.0002,elegans,genic
I,4890001,4900000,4894327,943,0.0003,elegans,genic
I,4900001,4910000,4903352,1541,0.0001,elegans,genic
I,4910001,4920000,4914548,1951,0.0005,elegans,genic
I,4920001,4930000,4926457,2399,0.0,elegans,genic
I,4930001,4940000,4934466,787,0.0002,elegans,genic
I,4940001,4950000,4944296,709,0.0001,elegans,genic
I,4950001,4960000,4953363,334,0.0,elegans,genic
I,4960001,4970000,4967672,1011,0.0005,elegans,genic
I,4970001,4980000,4971058,770,0.0005,elegans,genic
I,4980001,4990000,4984088,918,0.0004,elegans,genic
I,4990001,5000000,4992068,1962,0.0,elegans,genic
I,5000001,5010000,5003869,959,0.0004,elegans,genic
I,5010001,5020000,5017740,910,0.0001,elegans,genic
I,5020001,5030000,5021045,433,0.0,elegans,genic
I,5030001,5040000,5037369,964,0.0001,elegans,genic
I,5040001,5050000,5041600,369,0.0011,elegans,genic
I,5050001,5060000,5055611,1350,0.0001,elegans,genic
I,5060001,5070000,5063863,2836,0.0003,elegans,genic
I,5080001,5090000,5084280,1095,0.0,elegans,genic
I,5100001,5110000,5103946,1732,0.0001,elegans,genic
I,5110001,5120000,5114459,2524,0.0003,elegans,genic
I,5120001,5130000,5126542,1907,0.0001,elegans,genic
I,5130001,5140000,5134948,917,0.0,elegans,genic
I,5140001,5150000,5146302,1760,0.0008,elegans,genic
I,5150001,5160000,5158222,1723,0.0001,elegans,genic
I,5160001,5170000,5164926,2767,0.0002,elegans,genic
I,5170001,5180000,5175286,3387,0.0001,elegans,genic
I,5180001,5190000,5184304,1364,0.0002,elegans,genic
I,5190001,5200000,5196640,674,0.0,elegans,genic
I,5200001,5210000,5201950,862,0.0,elegans,genic
I,5210001,5220000,5211756,467,0.0,elegans,genic
I,5230001,5240000,5236330,1976,0.0005,elegans,genic
I,5240001,5250000,5246542,2238,0.0003,elegans,genic
I,5250001,5260000,5254173,2708,0.0003,elegans,genic
I,5260001,5270000,5265892,1045,0.0002,elegans,genic
I,5270001,5280000,5275507,3121,0.0004,elegans,genic
I,5280001,5290000,5285755,655,0.0003,elegans,genic
I,5300001,5310000,5304563,1288,0.0001,elegans,genic
I,5310001,5320000,5317728,857,0.0001,elegans,genic
I,5320001,5330000,5326595,2674,0.0003,elegans,genic
I,5330001,5340000,5337185,1080,0.0001,elegans,genic
I,5340001,5350000,5343392,1230,0.0,elegans,genic
I,5350001,5360000,5353533,1321,0.0004,elegans,genic
I,5360001,5370000,5361850,1006,0.0002,elegans,genic
I,5370001,5380000,5377595,2374,0.0006,elegans,genic
I,5380001,5390000,5383459,867,0.0002,elegans,genic
I,5400001,5410000,5406373,1333,0.0001,elegans,genic
I,5410001,5420000,5414266,1945,0.0002,elegans,genic
I,5420001,5430000,5424775,1588,0.0002,elegans,genic
I,5430001,5440000,5436632,2285,0.0001,elegans,genic
I,5440001,5450000,5442679,1136,0.0001,elegans,genic
I,5460001,5470000,5463480,421,0.0006,elegans,genic
I,5470001,5480000,5474576,542,0.0002,elegans,genic
I,5480001,5490000,5486289,1629,0.0004,elegans,genic
I,5490001,5500000,5492675,656,0.0002,elegans,genic
I,5500001,5510000,5503883,1377,0.0003,elegans,genic
I,5510001,5520000,5513904,1362,0.0005,elegans,genic
I,5520001,5530000,5524666,4480,0.0002,elegans,genic
I,5530001,5540000,5531092,490,0.0005,elegans,genic
I,5540001,5550000,5547057,1674,0.0006,elegans,genic
I,5550001,5560000,5554898,1660,0.0004,elegans,genic
I,5560001,5570000,5566207,3107,0.0003,elegans,genic
I,5570001,5580000,5574897,1556,0.0003,elegans,genic
I,5580001,5590000,5585268,2182,0.0002,elegans,genic
I,5590001,5600000,5595354,1803,0.0003,elegans,genic
I,5600001,5610000,5606329,1546,0.0002,elegans,genic
I,5610001,5620000,5613898,1682,0.0001,elegans,genic
I,5620001,5630000,5625268,906,0.0001,elegans,genic
I,5630001,5640000,5634668,1278,0.0002,elegans,genic
I,5640001,5650000,5646832,1830,0.0001,elegans,genic
I,5650001,5660000,5654456,3940,0.0003,elegans,genic
I,5660001,5670000,5664331,2705,0.0002,elegans,genic
I,5670001,5680000,5673945,1626,0.0002,elegans,genic
I,5680001,5690000,5687003,2112,0.0004,elegans,genic
I,5690001,5700000,5691020,474,0.0005,elegans,genic
I,5700001,5710000,5703419,927,0.0002,elegans,genic
I,5710001,5720000,5719122,460,0.0002,elegans,genic
I,5720001,5730000,5727790,501,0.0003,elegans,genic
I,5730001,5740000,5739610,248,0.0,elegans,genic
I,5740001,5750000,5744796,661,0.0002,elegans,genic
I,5750001,5760000,5756425,921,0.0002,elegans,genic
I,5760001,5770000,5764471,561,0.0003,elegans,genic
I,5770001,5780000,5774841,3096,0.0004,elegans,genic
I,5780001,5790000,5784374,2176,0.0002,elegans,genic
I,5790001,5800000,5795604,2094,0.0001,elegans,genic
I,5800001,5810000,5805784,3350,0.0004,elegans,genic
I,5810001,5820000,5814703,3871,0.0003,elegans,genic
I,5820001,5830000,5824523,1998,0.0008,elegans,genic
I,5830001,5840000,5833190,1991,0.0001,elegans,genic
I,5840001,5850000,5846084,1657,0.0001,elegans,genic
I,5850001,5860000,5853300,1648,0.0003,elegans,genic
