Chr,BP_start,BP_end,FST,pop_pair
I,1270001,1280000,-0.013,ishi-irio
I,1300001,1310000,0.0016,ishi-irio
I,1310001,1320000,0.0631,ishi-irio
I,1320001,1330000,-0.0133,ishi-irio
I,1330001,1340000,0.0319,ishi-irio
I,1340001,1350000,0.0341,ishi-irio
I,1360001,1370000,0.0215,ishi-irio
I,1390001,1400000,-0.004,ishi-irio
I,1400001,1410000,-0.0175,ishi-irio
I,1420001,1430000,-0.062,ishi-irio
I,1430001,1440000,0.0188,ishi-irio
I,1440001,1450000,-0.0011,ishi-irio
I,1460001,1470000,0.0413,ishi-irio
I,1470001,1480000,-0.0032,ishi-irio
I,1490001,1500000,0.0127,ishi-irio
I,1500001,1510000,0.0017,ishi-irio
I,1510001,1520000,0.0288,ishi-irio
I,1520001,1530000,-0.0025,ishi-irio
I,1530001,1540000,0.0287,ishi-irio
I,1540001,1550000,-0.0127,ishi-irio
I,1550001,1560000,0.0437,ishi-irio
I,1560001,1570000,0.0014,ishi-irio
I,1570001,1580000,0.0184,ishi-irio
I,1590001,1600000,0.0165,ishi-irio
I,1600001,1610000,0.116,ishi-irio
I,1610001,1620000,-0.0016,ishi-irio
I,1620001,1630000,0.0176,ishi-irio
I,1640001,1650000,-0.0502,ishi-irio
I,1650001,1660000,0.0163,ishi-irio
I,1660001,1670000,-0.0026,ishi-irio
I,1670001,1680000,0.0164,ishi-irio
I,1680001,1690000,0.0246,ishi-irio
I,1690001,1700000,0.0406,ishi-irio
I,1700001,1710000,0.0588,ishi-irio
I,1710001,1720000,0.0066,ishi-irio
I,1720001,1730000,0.0192,ishi-irio
I,1730001,1740000,0.0265,ishi-irio
I,1740001,1750000,0.0036,ishi-irio
I,1750001,1760000,-0.0125,ishi-irio
I,1760001,1770000,0.0276,ishi-irio
I,1770001,1780000,0.0109,ishi-irio
I,1780001,1790000,-0.0147,ishi-irio
I,1790001,1800000,-0.0214,ishi-irio
I,1800001,1810000,0.0421,ishi-irio
I,1820001,1830000,-0.0132,ishi-irio
I,1870001,1880000,0.0188,ishi-irio
I,1890001,1900000,0.0512,ishi-irio
I,1910001,1920000,0.0973,ishi-irio
I,1920001,1930000,0.0232,ishi-irio
I,1930001,1940000,0.0088,ishi-irio
I,2010001,2020000,-0.0116,ishi-irio
I,2020001,2030000,0.0362,ishi-irio
I,2030001,2040000,0.0425,ishi-irio
I,2040001,2050000,0.0181,ishi-irio
I,2070001,2080000,0.0092,ishi-irio
I,2080001,2090000,0.0048,ishi-irio
I,2090001,2100000,0.004,ishi-irio
I,2110001,2120000,-0.0258,ishi-irio
I,2120001,2130000,0.0419,ishi-irio
I,2130001,2140000,0.0208,ishi-irio
I,2140001,2150000,-0.0004,ishi-irio
I,2150001,2160000,0.0389,ishi-irio
I,2160001,2170000,-0.0147,ishi-irio
I,2170001,2180000,0.0187,ishi-irio
I,2180001,2190000,-0.0111,ishi-irio
I,2190001,2200000,0.0385,ishi-irio
I,2200001,2210000,0.0034,ishi-irio
I,2210001,2220000,0.0088,ishi-irio
I,2220001,2230000,0.0461,ishi-irio
I,2230001,2240000,-0.0112,ishi-irio
I,2260001,2270000,0.0496,ishi-irio
I,2270001,2280000,0.0495,ishi-irio
I,2280001,2290000,0.0213,ishi-irio
I,2290001,2300000,0.0139,ishi-irio
I,2300001,2310000,-0.0264,ishi-irio
I,2310001,2320000,-0.0126,ishi-irio
I,2340001,2350000,0.0948,ishi-irio
I,2360001,2370000,0.0628,ishi-irio
I,2370001,2380000,0.018,ishi-irio
I,2390001,2400000,0.0019,ishi-irio
I,2400001,2410000,-0.0029,ishi-irio
I,2410001,2420000,-0.0147,ishi-irio
I,2420001,2430000,-0.031,ishi-irio
I,2430001,2440000,0.0117,ishi-irio
I,2440001,2450000,0.0233,ishi-irio
I,2450001,2460000,0.0078,ishi-irio
I,2580001,2590000,0.0432,ishi-irio
I,2590001,2600000,0.0271,ishi-irio
I,2610001,2620000,-0.0125,ishi-irio
I,2620001,2630000,0.0624,ishi-irio
I,2630001,2640000,0.0685,ishi-irio
I,2650001,2660000,0.0713,ishi-irio
I,2660001,2670000,-0.0486,ishi-irio
I,2670001,2680000,-0.0105,ishi-irio
I,2710001,2720000,0.0243,ishi-irio
I,2770001,2780000,-0.0107,ishi-irio
I,2780001,2790000,0.0363,ishi-irio
I,2830001,2840000,0.0439,ishi-irio
I,2850001,2860000,-0.0028,ishi-irio
I,2860001,2870000,0.0109,ishi-irio
I,2870001,2880000,-0.0023,ishi-irio
I,2890001,2900000,0.0495,ishi-irio
I,2910001,2920000,0.0397,ishi-irio
I,2920001,2930000,0.0239,ishi-irio
I,2930001,2940000,0.0102,ishi-irio
I,2940001,2950000,0.0193,ishi-irio
I,2950001,2960000,-0.0168,ishi-irio
I,2970001,2980000,-0.0125,ishi-irio
I,3040001,3050000,0.0281,ishi-irio
I,3050001,3060000,0.029,ishi-irio
I,3100001,3110000,-0.0455,ishi-irio
I,3110001,3120000,0.0382,ishi-irio
I,3120001,3130000,-0.0131,ishi-irio
I,3150001,3160000,0.007,ishi-irio
I,3170001,3180000,0.0097,ishi-irio
I,3180001,3190000,-0.0204,ishi-irio
I,3190001,3200000,0.0129,ishi-irio
I,3200001,3210000,0.0096,ishi-irio
I,3230001,3240000,-0.0185,ishi-irio
I,3240001,3250000,-0.0305,ishi-irio
I,3260001,3270000,0.1383,ishi-irio
I,3270001,3280000,0.0664,ishi-irio
I,3290001,3300000,0.0015,ishi-irio
I,3300001,3310000,0.011,ishi-irio
I,3320001,3330000,0.0163,ishi-irio
I,3330001,3340000,-0.0186,ishi-irio
I,3340001,3350000,0.1412,ishi-irio
I,3350001,3360000,0.0721,ishi-irio
I,3360001,3370000,0.0666,ishi-irio
I,3370001,3380000,0.1558,ishi-irio
I,3380001,3390000,0.0172,ishi-irio
I,3400001,3410000,-0.0391,ishi-irio
I,3410001,3420000,0.0007,ishi-irio
I,3420001,3430000,0.0282,ishi-irio
I,3430001,3440000,-0.0212,ishi-irio
I,3450001,3460000,-0.0361,ishi-irio
I,3460001,3470000,-0.0432,ishi-irio
I,3470001,3480000,-0.001,ishi-irio
I,3490001,3500000,-0.041,ishi-irio
I,3500001,3510000,0.0387,ishi-irio
I,3510001,3520000,-0.0076,ishi-irio
I,3530001,3540000,0.0604,ishi-irio
I,3540001,3550000,0.0283,ishi-irio
I,3550001,3560000,0.0002,ishi-irio
I,3560001,3570000,0.0339,ishi-irio
I,3570001,3580000,0.0068,ishi-irio
I,3580001,3590000,0.016,ishi-irio
I,3590001,3600000,-0.0002,ishi-irio
I,3600001,3610000,0.0454,ishi-irio
I,3610001,3620000,0.0363,ishi-irio
I,3620001,3630000,0.0383,ishi-irio
I,3630001,3640000,0.0362,ishi-irio
I,3640001,3650000,-0.0297,ishi-irio
I,3650001,3660000,0.0231,ishi-irio
I,3660001,3670000,0.0001,ishi-irio
I,3670001,3680000,0.0019,ishi-irio
I,3680001,3690000,-0.0299,ishi-irio
I,3690001,3700000,-0.014,ishi-irio
I,3700001,3710000,-0.0149,ishi-irio
I,3710001,3720000,0.0644,ishi-irio
I,3720001,3730000,0.3576,ishi-irio
I,3730001,3740000,-0.0151,ishi-irio
I,3740001,3750000,0.0207,ishi-irio
I,3750001,3760000,-0.0135,ishi-irio
I,3760001,3770000,0.0184,ishi-irio
I,3820001,3830000,0.0191,ishi-irio
I,3830001,3840000,-0.008,ishi-irio
I,3840001,3850000,-0.0148,ishi-irio
I,3850001,3860000,-0.0309,ishi-irio
I,3860001,3870000,-0.0371,ishi-irio
I,3880001,3890000,-0.011,ishi-irio
I,3890001,3900000,0.0136,ishi-irio
I,3910001,3920000,0.0227,ishi-irio
I,3950001,3960000,0.0536,ishi-irio
I,3960001,3970000,-0.013,ishi-irio
I,3970001,3980000,-0.0016,ishi-irio
I,3990001,4000000,0.0104,ishi-irio
I,4020001,4030000,-0.0167,ishi-irio
I,4030001,4040000,0.017,ishi-irio
I,4040001,4050000,0.0028,ishi-irio
I,4050001,4060000,-0.0211,ishi-irio
I,4060001,4070000,0.0029,ishi-irio
I,4080001,4090000,0.0428,ishi-irio
I,4100001,4110000,0.0164,ishi-irio
I,4130001,4140000,0.0593,ishi-irio
I,4160001,4170000,0.0514,ishi-irio
I,4170001,4180000,-0.0012,ishi-irio
I,4180001,4190000,0.0032,ishi-irio
I,4190001,4200000,0.0034,ishi-irio
I,4200001,4210000,0.0348,ishi-irio
I,4210001,4220000,0.0363,ishi-irio
I,4220001,4230000,0.0005,ishi-irio
I,4310001,4320000,0.0487,ishi-irio
I,4330001,4340000,-0.068,ishi-irio
I,4340001,4350000,0.0436,ishi-irio
I,4350001,4360000,0.029,ishi-irio
I,4360001,4370000,-0.0138,ishi-irio
I,4370001,4380000,0.0686,ishi-irio
I,4380001,4390000,-0.0284,ishi-irio
I,4390001,4400000,0.0189,ishi-irio
I,4400001,4410000,0.0432,ishi-irio
I,4420001,4430000,-0.0399,ishi-irio
I,4430001,4440000,0.0544,ishi-irio
I,4450001,4460000,0.0055,ishi-irio
I,4460001,4470000,0.0053,ishi-irio
I,4470001,4480000,-0.0023,ishi-irio
I,4500001,4510000,0.0317,ishi-irio
I,4520001,4530000,0.0381,ishi-irio
I,4540001,4550000,0.0388,ishi-irio
I,4550001,4560000,-0.0164,ishi-irio
I,4560001,4570000,0.0776,ishi-irio
I,4600001,4610000,-0.0057,ishi-irio
I,4620001,4630000,0.0056,ishi-irio
I,4630001,4640000,-0.0095,ishi-irio
I,4640001,4650000,-0.0226,ishi-irio
I,4650001,4660000,0.0069,ishi-irio
I,4660001,4670000,-0.0197,ishi-irio
I,4700001,4710000,-0.0295,ishi-irio
I,4710001,4720000,0.0636,ishi-irio
I,4740001,4750000,0.0168,ishi-irio
I,4750001,4760000,0.0132,ishi-irio
I,4760001,4770000,-0.0677,ishi-irio
I,4810001,4820000,0.0106,ishi-irio
I,4900001,4910000,0.0191,ishi-irio
I,4910001,4920000,-0.0328,ishi-irio
I,4920001,4930000,0.08,ishi-irio
I,4940001,4950000,0.0677,ishi-irio
I,5060001,5070000,-0.0468,ishi-irio
I,5070001,5080000,0.0324,ishi-irio
I,5080001,5090000,0.1184,ishi-irio
I,5140001,5150000,0.0157,ishi-irio
I,5150001,5160000,0.0277,ishi-irio
I,5160001,5170000,0.0084,ishi-irio
I,5170001,5180000,0.0599,ishi-irio
I,5180001,5190000,0.0013,ishi-irio
I,5200001,5210000,-0.007,ishi-irio
I,5210001,5220000,0.0029,ishi-irio
I,5270001,5280000,0.0681,ishi-irio
I,5280001,5290000,0.0497,ishi-irio
I,5330001,5340000,-0.0083,ishi-irio
I,5340001,5350000,-0.0018,ishi-irio
I,5350001,5360000,0.0299,ishi-irio
I,5360001,5370000,0.0406,ishi-irio
I,5370001,5380000,0.0767,ishi-irio
I,5380001,5390000,-0.0117,ishi-irio
I,5400001,5410000,0.0378,ishi-irio
I,5410001,5420000,0.0054,ishi-irio
I,5420001,5430000,0.0452,ishi-irio
I,5430001,5440000,-0.027,ishi-irio
I,5470001,5480000,-0.0322,ishi-irio
I,5480001,5490000,0.0099,ishi-irio
I,5490001,5500000,0.071,ishi-irio
I,5500001,5510000,0.0086,ishi-irio
I,5510001,5520000,-0.0069,ishi-irio
I,5520001,5530000,0.0104,ishi-irio
I,5530001,5540000,0.0416,ishi-irio
I,5540001,5550000,0.002,ishi-irio
I,5550001,5560000,0.006,ishi-irio
I,5560001,5570000,0.0507,ishi-irio
I,5570001,5580000,0.0065,ishi-irio
I,5580001,5590000,0.0097,ishi-irio
I,5590001,5600000,0.013,ishi-irio
I,5610001,5620000,-0.0153,ishi-irio
I,5630001,5640000,0.0586,ishi-irio
I,5640001,5650000,0.0038,ishi-irio
I,5700001,5710000,-0.0316,ishi-irio
I,5710001,5720000,0.0106,ishi-irio
I,5720001,5730000,0.0765,ishi-irio
I,5770001,5780000,0.0317,ishi-irio
I,5780001,5790000,-0.0759,ishi-irio
I,5790001,5800000,0.0853,ishi-irio
I,5800001,5810000,0.0313,ishi-irio
I,5830001,5840000,0.0086,ishi-irio
I,5890001,5900000,-0.0178,ishi-irio
I,5900001,5910000,-0.1355,ishi-irio
I,5910001,5920000,0.0897,ishi-irio
I,5940001,5950000,0.0615,ishi-irio
I,6000001,6010000,0.013,ishi-irio
I,6030001,6040000,-0.0299,ishi-irio
I,6100001,6110000,-0.0365,ishi-irio
I,6110001,6120000,0.048,ishi-irio
I,6150001,6160000,0.0548,ishi-irio
I,6160001,6170000,0.0074,ishi-irio
I,6170001,6180000,0.0341,ishi-irio
I,6180001,6190000,0.0226,ishi-irio
I,6210001,6220000,-0.0109,ishi-irio
I,6220001,6230000,0.0302,ishi-irio
I,6230001,6240000,-0.0083,ishi-irio
I,6250001,6260000,0.0033,ishi-irio
I,6260001,6270000,-0.028,ishi-irio
I,6270001,6280000,-0.0099,ishi-irio
I,6290001,6300000,-0.0035,ishi-irio
I,6310001,6320000,0.0418,ishi-irio
I,6320001,6330000,-0.0228,ishi-irio
I,6330001,6340000,0.0084,ishi-irio
I,6340001,6350000,-0.0237,ishi-irio
I,6350001,6360000,0.015,ishi-irio
I,6360001,6370000,-0.0002,ishi-irio
I,6370001,6380000,0.0437,ishi-irio
I,6400001,6410000,0.0513,ishi-irio
I,6410001,6420000,0.003,ishi-irio
I,6420001,6430000,0.0568,ishi-irio
I,6430001,6440000,0.0048,ishi-irio
I,6440001,6450000,-0.007,ishi-irio
I,6450001,6460000,0.0163,ishi-irio
I,6460001,6470000,0.0472,ishi-irio
I,6470001,6480000,0.0186,ishi-irio
I,6490001,6500000,-0.0414,ishi-irio
I,6510001,6520000,-0.0166,ishi-irio
I,6530001,6540000,0.0502,ishi-irio
I,6540001,6550000,0.0429,ishi-irio
I,6550001,6560000,-0.0005,ishi-irio
I,6560001,6570000,-0.003,ishi-irio
I,6600001,6610000,-0.055,ishi-irio
I,6620001,6630000,0.0312,ishi-irio
I,6630001,6640000,0.0085,ishi-irio
I,6640001,6650000,0.0185,ishi-irio
I,6650001,6660000,-0.1319,ishi-irio
I,6670001,6680000,0.0236,ishi-irio
I,6680001,6690000,0.0226,ishi-irio
I,6690001,6700000,-0.0058,ishi-irio
I,6700001,6710000,0.0268,ishi-irio
I,6710001,6720000,0.013,ishi-irio
I,6720001,6730000,0.0836,ishi-irio
I,6730001,6740000,-0.007,ishi-irio
I,6740001,6750000,0.001,ishi-irio
I,6750001,6760000,0.0026,ishi-irio
I,6760001,6770000,-0.0001,ishi-irio
I,6770001,6780000,-0.0056,ishi-irio
I,6780001,6790000,0.0201,ishi-irio
I,6790001,6800000,0.0278,ishi-irio
I,6800001,6810000,0.0064,ishi-irio
I,6810001,6820000,0.0186,ishi-irio
I,6820001,6830000,0.0002,ishi-irio
I,6830001,6840000,0.0212,ishi-irio
I,6890001,6900000,0.0021,ishi-irio
I,6900001,6910000,-0.0192,ishi-irio
I,6910001,6920000,0.0405,ishi-irio
I,6930001,6940000,0.0276,ishi-irio
I,6960001,6970000,0.0443,ishi-irio
I,6970001,6980000,0.0004,ishi-irio
I,6980001,6990000,0.0255,ishi-irio
I,7000001,7010000,0.0337,ishi-irio
I,7020001,7030000,0.056,ishi-irio
I,7040001,7050000,-0.0015,ishi-irio
I,7050001,7060000,0.026,ishi-irio
I,7060001,7070000,-0.0297,ishi-irio
I,7080001,7090000,-0.0177,ishi-irio
I,7090001,7100000,0.0004,ishi-irio
I,7100001,7110000,-0.0114,ishi-irio
I,7110001,7120000,0.0374,ishi-irio
I,7120001,7130000,0.046,ishi-irio
I,7140001,7150000,0.0286,ishi-irio
I,7160001,7170000,-0.0081,ishi-irio
I,7180001,7190000,-0.0052,ishi-irio
I,7190001,7200000,0.0109,ishi-irio
I,7200001,7210000,0.0273,ishi-irio
I,7210001,7220000,-0.0155,ishi-irio
I,7220001,7230000,0.034,ishi-irio
I,7230001,7240000,-0.0012,ishi-irio
I,7240001,7250000,0.0242,ishi-irio
I,7260001,7270000,0.0024,ishi-irio
I,7270001,7280000,0.0042,ishi-irio
I,7280001,7290000,0.0141,ishi-irio
I,7290001,7300000,0.022,ishi-irio
I,7300001,7310000,0.0448,ishi-irio
I,7310001,7320000,-0.042,ishi-irio
I,7320001,7330000,-0.013,ishi-irio
I,7420001,7430000,-0.0002,ishi-irio
I,7520001,7530000,-0.0005,ishi-irio
I,7530001,7540000,0.0084,ishi-irio
I,7540001,7550000,0.0043,ishi-irio
I,7560001,7570000,0.011,ishi-irio
I,7590001,7600000,0.0113,ishi-irio
I,7600001,7610000,0.0119,ishi-irio
I,7630001,7640000,0.0043,ishi-irio
I,7640001,7650000,-0.0163,ishi-irio
I,7650001,7660000,0.0145,ishi-irio
I,7660001,7670000,-0.0056,ishi-irio
I,7670001,7680000,0.0078,ishi-irio
I,7690001,7700000,-0.0048,ishi-irio
I,7700001,7710000,-0.0187,ishi-irio
I,7710001,7720000,0.0384,ishi-irio
I,7720001,7730000,0.0388,ishi-irio
I,7750001,7760000,0.0071,ishi-irio
I,7780001,7790000,-0.0186,ishi-irio
I,7820001,7830000,-0.019,ishi-irio
I,7850001,7860000,0.0245,ishi-irio
I,7860001,7870000,0.0949,ishi-irio
I,7910001,7920000,-0.029,ishi-irio
I,7920001,7930000,0.0062,ishi-irio
I,7930001,7940000,0.0789,ishi-irio
I,7970001,7980000,-0.0071,ishi-irio
I,7980001,7990000,0.0615,ishi-irio
I,7990001,8000000,-0.0058,ishi-irio
I,8000001,8010000,0.0385,ishi-irio
I,8010001,8020000,-0.0172,ishi-irio
I,8020001,8030000,-0.0252,ishi-irio
I,8030001,8040000,0.0313,ishi-irio
I,8040001,8050000,0.0161,ishi-irio
I,8050001,8060000,-0.0002,ishi-irio
I,8060001,8070000,-0.0341,ishi-irio
I,8070001,8080000,-0.0078,ishi-irio
I,8080001,8090000,-0.0149,ishi-irio
I,8090001,8100000,0.1016,ishi-irio
I,8120001,8130000,0.0277,ishi-irio
I,8140001,8150000,0.0234,ishi-irio
I,8160001,8170000,0.0044,ishi-irio
I,8170001,8180000,-0.0078,ishi-irio
I,8220001,8230000,0.0252,ishi-irio
I,8230001,8240000,-0.01,ishi-irio
I,8260001,8270000,0.0136,ishi-irio
I,8270001,8280000,0.0189,ishi-irio
I,8280001,8290000,0.2057,ishi-irio
I,8290001,8300000,0.0311,ishi-irio
I,8300001,8310000,0.0905,ishi-irio
I,8310001,8320000,-0.0305,ishi-irio
I,8320001,8330000,-0.0152,ishi-irio
I,8340001,8350000,0.0074,ishi-irio
I,8430001,8440000,0.0673,ishi-irio
I,8440001,8450000,-0.015,ishi-irio
I,8460001,8470000,0.126,ishi-irio
I,8470001,8480000,0.0152,ishi-irio
I,8480001,8490000,0.0515,ishi-irio
I,8490001,8500000,-0.0244,ishi-irio
I,8500001,8510000,0.0333,ishi-irio
I,8510001,8520000,-0.0167,ishi-irio
I,8530001,8540000,-0.0064,ishi-irio
I,8540001,8550000,0.0004,ishi-irio
I,8550001,8560000,0.0108,ishi-irio
I,8560001,8570000,-0.0006,ishi-irio
I,8570001,8580000,0.1196,ishi-irio
I,8580001,8590000,0.0258,ishi-irio
I,8590001,8600000,0.0004,ishi-irio
I,8600001,8610000,0.0413,ishi-irio
I,8630001,8640000,0.0355,ishi-irio
I,8640001,8650000,-0.0096,ishi-irio
I,8650001,8660000,-0.0164,ishi-irio
I,8670001,8680000,-0.1084,ishi-irio
I,8680001,8690000,-0.0118,ishi-irio
I,8710001,8720000,0.0437,ishi-irio
I,8720001,8730000,0.0131,ishi-irio
I,8730001,8740000,-0.0162,ishi-irio
I,8740001,8750000,-0.0053,ishi-irio
I,8760001,8770000,-0.02,ishi-irio
I,8770001,8780000,0.0505,ishi-irio
I,8780001,8790000,0.0294,ishi-irio
I,8790001,8800000,0.0038,ishi-irio
I,8800001,8810000,-0.0373,ishi-irio
I,8810001,8820000,0.0728,ishi-irio
I,8820001,8830000,0.0795,ishi-irio
I,8830001,8840000,0.0112,ishi-irio
I,8850001,8860000,0.0316,ishi-irio
I,8860001,8870000,0.0077,ishi-irio
I,8870001,8880000,0.0229,ishi-irio
I,8910001,8920000,-0.009,ishi-irio
I,8920001,8930000,-0.0058,ishi-irio
I,8930001,8940000,-0.0392,ishi-irio
I,8950001,8960000,0.0091,ishi-irio
I,8980001,8990000,-0.0395,ishi-irio
I,8990001,9000000,0.1063,ishi-irio
I,9000001,9010000,0.2309,ishi-irio
I,9020001,9030000,0.0123,ishi-irio
I,9030001,9040000,0.0293,ishi-irio
I,9040001,9050000,0.067,ishi-irio
I,9050001,9060000,-0.0005,ishi-irio
I,9060001,9070000,-0.0217,ishi-irio
I,9070001,9080000,0.0201,ishi-irio
I,9080001,9090000,0.0114,ishi-irio
I,9090001,9100000,-0.0048,ishi-irio
I,9100001,9110000,0.0969,ishi-irio
I,9110001,9120000,-0.0306,ishi-irio
I,9120001,9130000,0.121,ishi-irio
I,9130001,9140000,0.0018,ishi-irio
I,9160001,9170000,-0.0168,ishi-irio
I,9170001,9180000,-0.02,ishi-irio
I,9180001,9190000,0.0162,ishi-irio
I,9190001,9200000,0.0143,ishi-irio
I,9200001,9210000,-0.0023,ishi-irio
I,9210001,9220000,-0.015,ishi-irio
I,9230001,9240000,-0.004,ishi-irio
I,9240001,9250000,0.0435,ishi-irio
I,9260001,9270000,0.0259,ishi-irio
I,9270001,9280000,0.1587,ishi-irio
I,9280001,9290000,0.013,ishi-irio
I,9290001,9300000,0.0045,ishi-irio
I,9300001,9310000,0.0786,ishi-irio
I,9310001,9320000,-0.0322,ishi-irio
I,9350001,9360000,0.0305,ishi-irio
I,9360001,9370000,-0.0162,ishi-irio
I,9370001,9380000,-0.02,ishi-irio
I,9380001,9390000,-0.037,ishi-irio
I,9390001,9400000,0.0139,ishi-irio
I,9400001,9410000,0.0475,ishi-irio
I,9410001,9420000,0.0011,ishi-irio
I,9430001,9440000,-0.0074,ishi-irio
I,9440001,9450000,0.0174,ishi-irio
I,9460001,9470000,-0.0171,ishi-irio
I,9470001,9480000,-0.025,ishi-irio
I,9490001,9500000,-0.0211,ishi-irio
I,9500001,9510000,0.0056,ishi-irio
I,9510001,9520000,-0.0133,ishi-irio
I,9520001,9530000,-0.0336,ishi-irio
I,9570001,9580000,0.0194,ishi-irio
I,9580001,9590000,0.1009,ishi-irio
I,9590001,9600000,0.0175,ishi-irio
I,9600001,9610000,0.2472,ishi-irio
I,9630001,9640000,0.0162,ishi-irio
I,9640001,9650000,0.0744,ishi-irio
I,9650001,9660000,0.0123,ishi-irio
I,9660001,9670000,-0.0033,ishi-irio
I,9670001,9680000,-0.0037,ishi-irio
I,9710001,9720000,0.0073,ishi-irio
I,9720001,9730000,-0.0238,ishi-irio
I,9750001,9760000,0.0102,ishi-irio
I,9760001,9770000,-0.024,ishi-irio
I,9770001,9780000,0.0453,ishi-irio
I,9780001,9790000,-0.0028,ishi-irio
I,9790001,9800000,0.0063,ishi-irio
I,9800001,9810000,0.0483,ishi-irio
I,9820001,9830000,0.0127,ishi-irio
I,9830001,9840000,0.0518,ishi-irio
I,9850001,9860000,-0.0148,ishi-irio
I,9880001,9890000,0.035,ishi-irio
I,9900001,9910000,0.0879,ishi-irio
I,9910001,9920000,-0.0155,ishi-irio
I,9920001,9930000,0.0339,ishi-irio
I,9930001,9940000,0.0419,ishi-irio
I,9950001,9960000,0.0376,ishi-irio
I,9960001,9970000,-0.0951,ishi-irio
I,9970001,9980000,0.0035,ishi-irio
I,9980001,9990000,0.0959,ishi-irio
I,9990001,10000000,0.0528,ishi-irio
I,10000001,10010000,0.0631,ishi-irio
I,10030001,10040000,-0.001,ishi-irio
I,10040001,10050000,-0.0054,ishi-irio
I,10050001,10060000,-0.0237,ishi-irio
I,10120001,10130000,0.0145,ishi-irio
I,10190001,10200000,0.0414,ishi-irio
I,10200001,10210000,0.0031,ishi-irio
I,10210001,10220000,0.0287,ishi-irio
I,10220001,10230000,-0.0061,ishi-irio
I,10230001,10240000,0.0952,ishi-irio
I,10260001,10270000,-0.0038,ishi-irio
I,10280001,10290000,-0.012,ishi-irio
I,10290001,10300000,0.0034,ishi-irio
I,10300001,10310000,0.0229,ishi-irio
I,10310001,10320000,-0.0004,ishi-irio
I,10320001,10330000,0.0338,ishi-irio
