Chr	BP	Fis	species
I	990000	0.2656837708	inopinata
I	1000000	0.0912589697	inopinata
I	1030000	0.1288628333	inopinata
I	1060000	-0.02496	inopinata
I	1080000	-0.1123016667	inopinata
I	1110000	0.06816666667	inopinata
I	1120000	-0.040185	inopinata
I	1140000	-0.0051359	inopinata
I	1150000	-0.22222	inopinata
I	1160000	0.07436666667	inopinata
I	1170000	-0.07165383823	inopinata
I	1190000	0.07143	inopinata
I	1210000	-0.2148448611	inopinata
I	1220000	-0.02566	inopinata
I	1230000	-0.01685206173	inopinata
I	1240000	-0.1376142222	inopinata
I	1250000	0.1038027778	inopinata
I	1270000	0.08734148809	inopinata
I	1280000	-0.09381625	inopinata
I	1300000	0.08361816667	inopinata
I	1310000	0.2107196574	inopinata
I	1320000	-0.01089971428	inopinata
I	1330000	0.06740164881	inopinata
I	1340000	0.06337714286	inopinata
I	1360000	0.09733327604	inopinata
I	1370000	0.2877620833	inopinata
I	1380000	0.435452	inopinata
I	1390000	-0.0504973082	inopinata
I	1400000	0.07461346321	inopinata
I	1410000	-0.02632	inopinata
I	1420000	0.1317920716	inopinata
I	1430000	0.07304977011	inopinata
I	1440000	0.100354375	inopinata
I	1450000	0.052855	inopinata
I	1460000	0.09560695397	inopinata
I	1470000	0.06967018889	inopinata
I	1480000	0.089295	inopinata
I	1490000	0.2216018425	inopinata
I	1500000	0.03615377333	inopinata
I	1510000	0.1439983986	inopinata
I	1520000	0.1737331167	inopinata
I	1530000	0.04923436346	inopinata
I	1540000	0.0582429	inopinata
I	1550000	0.2125413333	inopinata
I	1560000	-0.1320090238	inopinata
I	1570000	0.1733482262	inopinata
I	1580000	0.1601175	inopinata
I	1590000	0.06708626666	inopinata
I	1600000	0.2018886355	inopinata
I	1610000	-0.02655895833	inopinata
I	1620000	-0.0188525	inopinata
I	1640000	-0.03460233333	inopinata
I	1650000	0.1277984917	inopinata
I	1660000	0.07676064815	inopinata
I	1670000	0.1738655437	inopinata
I	1680000	0.126159963	inopinata
I	1690000	-0.05985555557	inopinata
I	1700000	0.1595639955	inopinata
I	1710000	0.1063934286	inopinata
I	1720000	0.08571294791	inopinata
I	1730000	-0.001684519608	inopinata
I	1740000	-0.03362101852	inopinata
I	1750000	-0.024405625	inopinata
I	1760000	0.07011435714	inopinata
I	1770000	0.01405710822	inopinata
I	1780000	-0.04916666667	inopinata
I	1790000	-0.2066395742	inopinata
I	1800000	-0.1106984037	inopinata
I	1820000	-0.1058026923	inopinata
I	1830000	0.17015	inopinata
I	1840000	0.44599	inopinata
I	1860000	0.26266375	inopinata
I	1870000	0.01633020833	inopinata
I	1890000	0.05169318181	inopinata
I	1900000	0.1758205556	inopinata
I	1910000	0.2423961905	inopinata
I	1920000	0.08774784483	inopinata
I	1930000	0.09637201465	inopinata
I	1940000	-0.070585	inopinata
I	1990000	0.088675	inopinata
I	2000000	-0.082605	inopinata
I	2010000	-0.1573568055	inopinata
I	2020000	-0.184080575	inopinata
I	2030000	0.02395357143	inopinata
I	2040000	0.118824791	inopinata
I	2070000	0.03801082143	inopinata
I	2080000	0.04945266667	inopinata
I	2090000	0.1338308658	inopinata
I	2100000	-0.05405	inopinata
I	2110000	0.023866325	inopinata
I	2120000	0.06214599206	inopinata
I	2130000	0.2594395214	inopinata
I	2140000	0.2238215839	inopinata
I	2150000	-0.003637736779	inopinata
I	2160000	0.2348679167	inopinata
I	2170000	0.1332718056	inopinata
I	2180000	0.05173409412	inopinata
I	2190000	0.3604333827	inopinata
I	2200000	0.2603011706	inopinata
I	2210000	0.1057134233	inopinata
I	2220000	0.06006888888	inopinata
I	2230000	0.2739968712	inopinata
I	2250000	-0.25806	inopinata
I	2260000	0.08999011706	inopinata
I	2270000	0.3964654888	inopinata
I	2280000	0.09134812626	inopinata
I	2290000	0.04594294872	inopinata
I	2300000	0.0256	inopinata
I	2310000	0.2218178225	inopinata
I	2340000	0.1662316667	inopinata
I	2350000	0.31157625	inopinata
I	2360000	-0.01562264404	inopinata
I	2370000	0.02515835317	inopinata
I	2380000	0.05112013888	inopinata
I	2390000	-0.03243236735	inopinata
I	2400000	0.01871656462	inopinata
I	2410000	0.2250796026	inopinata
I	2420000	0.02629852778	inopinata
I	2430000	0.002008454836	inopinata
I	2440000	0.1655351923	inopinata
I	2450000	0.08049817404	inopinata
I	2520000	-0.126625	inopinata
I	2540000	0.1282996667	inopinata
I	2550000	0.458335	inopinata
I	2580000	0.1221045238	inopinata
I	2590000	0.289262	inopinata
I	2610000	0.2016219444	inopinata
I	2620000	0.1867200238	inopinata
I	2630000	0.3716100069	inopinata
I	2650000	0.06667424074	inopinata
I	2660000	0.0590450625	inopinata
I	2670000	-0.2658623333	inopinata
I	2680000	-0.1908415833	inopinata
I	2690000	-0.04678625	inopinata
I	2710000	0.1941084286	inopinata
I	2730000	1	inopinata
I	2760000	-0.04154433333	inopinata
I	2770000	-0.007598900498	inopinata
I	2780000	0.2278198938	inopinata
I	2800000	-0.2064738889	inopinata
I	2830000	0.1194536667	inopinata
I	2850000	0.08552316137	inopinata
I	2860000	0.06008544445	inopinata
I	2870000	0.01617210417	inopinata
I	2890000	0.083132	inopinata
I	2910000	0.1998286905	inopinata
I	2920000	0.2331462474	inopinata
I	2930000	0.1264170833	inopinata
I	2940000	0.01810324561	inopinata
I	2950000	0.3689994375	inopinata
I	2960000	0.138435	inopinata
I	2970000	-0.03262483333	inopinata
I	3040000	0.03446310648	inopinata
I	3050000	0.2349660256	inopinata
I	3100000	0.1256785897	inopinata
I	3110000	0.1022315	inopinata
I	3120000	0.1713866875	inopinata
I	3140000	-0.05456666667	inopinata
I	3150000	0.04384720513	inopinata
I	3160000	0.4316766667	inopinata
I	3170000	0.2519854167	inopinata
I	3180000	0.02976166667	inopinata
I	3190000	-0.08161020833	inopinata
I	3200000	-0.07908177083	inopinata
I	3210000	-0.02632	inopinata
I	3230000	-0.2800248452	inopinata
I	3240000	-0.2644686667	inopinata
I	3260000	-0.05218333333	inopinata
I	3270000	-0.04008936232	inopinata
I	3280000	-0.02632	inopinata
I	3290000	-0.105702	inopinata
I	3300000	0.02657766667	inopinata
I	3310000	0.4091875	inopinata
I	3320000	0.2400722756	inopinata
I	3330000	0.1764901511	inopinata
I	3340000	0.09450363636	inopinata
I	3350000	0.090202	inopinata
I	3360000	0.1747391667	inopinata
I	3370000	0.01026666667	inopinata
I	3380000	0.06251071429	inopinata
I	3400000	-0.0768175	inopinata
I	3410000	-0.1172181429	inopinata
I	3420000	0.90570125	inopinata
I	3430000	-0.109519	inopinata
I	3450000	-0.06416	inopinata
I	3460000	0.043755	inopinata
I	3470000	-0.19629	inopinata
I	3480000	-0.05405	inopinata
I	3490000	-0.03556333333	inopinata
I	3500000	-0.03604	inopinata
I	3510000	0.01058	inopinata
I	3530000	0.1042602381	inopinata
I	3540000	0.3834095	inopinata
I	3550000	-0.03953333333	inopinata
I	3560000	-0.02450416667	inopinata
I	3570000	-0.02632	inopinata
I	3580000	0.07080792308	inopinata
I	3590000	0.05660981481	inopinata
I	3600000	-0.01102012821	inopinata
I	3610000	0.07320807692	inopinata
I	3620000	0.1539862474	inopinata
I	3630000	-0.02079386364	inopinata
I	3640000	0.16565575	inopinata
I	3650000	0.3322138462	inopinata
I	3660000	0.2162061111	inopinata
I	3670000	0.1270344518	inopinata
I	3680000	0.137895625	inopinata
I	3690000	0.1648842222	inopinata
I	3700000	0.1205856159	inopinata
I	3710000	0.0705547	inopinata
I	3720000	0.231456	inopinata
I	3730000	-0.1613196703	inopinata
I	3740000	-0.06256666667	inopinata
I	3750000	-0.1518	inopinata
I	3760000	-0.29110325	inopinata
I	3820000	0.2179542262	inopinata
I	3830000	0.030626	inopinata
I	3840000	-0.5	inopinata
I	3850000	0.04291	inopinata
I	3860000	-0.019555	inopinata
I	3880000	-0.2041655556	inopinata
I	3890000	-0.06244666667	inopinata
I	3910000	-0.0509925	inopinata
I	3950000	0.1515266667	inopinata
I	3960000	-0.03019238096	inopinata
I	3970000	-0.0451448	inopinata
I	3990000	0.06330546154	inopinata
I	4000000	0.21154	inopinata
I	4020000	0.07893595238	inopinata
I	4030000	0.1079109259	inopinata
I	4040000	0.1116831818	inopinata
I	4050000	-0.01400305556	inopinata
I	4060000	0.2369688974	inopinata
I	4070000	-0.0404275	inopinata
I	4080000	0.04307558333	inopinata
I	4090000	-0.05128	inopinata
I	4100000	0.09584270834	inopinata
I	4130000	0.1575005556	inopinata
I	4150000	0.01893833333	inopinata
I	4160000	0.2086209091	inopinata
I	4170000	0.1213542424	inopinata
I	4180000	0.1377277067	inopinata
I	4190000	0.1890666291	inopinata
I	4200000	0.1874972762	inopinata
I	4210000	0.1846816667	inopinata
I	4220000	0.2901816329	inopinata
I	4250000	0.2797945833	inopinata
I	4290000	0.5144511111	inopinata
I	4310000	0.4177690256	inopinata
I	4330000	-0.1392261111	inopinata
I	4340000	0.1548376833	inopinata
I	4350000	0.1475393	inopinata
I	4360000	0.02229066667	inopinata
I	4370000	0.1576820139	inopinata
I	4380000	0.0477395	inopinata
I	4390000	0.1716421429	inopinata
I	4400000	0.1182830032	inopinata
I	4410000	0.308645	inopinata
I	4420000	0.482313	inopinata
I	4430000	0.1636401764	inopinata
I	4450000	-0.08416619841	inopinata
I	4460000	-0.1171330667	inopinata
I	4470000	-0.07714189177	inopinata
I	4480000	-0.26375	inopinata
I	4500000	0.0241767492	inopinata
I	4520000	0.1823945516	inopinata
I	4540000	0.09615601087	inopinata
I	4550000	0.4194067778	inopinata
I	4560000	0.1110338333	inopinata
I	4600000	0.1299322967	inopinata
I	4610000	0.1943809821	inopinata
I	4620000	0.1308481659	inopinata
I	4630000	0.1559966667	inopinata
I	4640000	0.2580144889	inopinata
I	4650000	0.1533413636	inopinata
I	4660000	0.03499321429	inopinata
I	4690000	0.1854958333	inopinata
I	4700000	0.04917259259	inopinata
I	4710000	0.132665	inopinata
I	4740000	0.036454	inopinata
I	4750000	0.2997493572	inopinata
I	4760000	0.228784	inopinata
I	4770000	0.33143	inopinata
I	4800000	0.34162	inopinata
I	4810000	0.09342416667	inopinata
I	4820000	0.2702533333	inopinata
I	4880000	0.0203175	inopinata
I	4890000	0.1015475	inopinata
I	4900000	0.01738757575	inopinata
I	4910000	0.091025625	inopinata
I	4920000	0.3853227483	inopinata
I	4940000	0.311165	inopinata
I	4960000	-0.128305	inopinata
I	5050000	-0.1407603175	inopinata
I	5060000	0.16213	inopinata
I	5070000	0.1123489667	inopinata
I	5080000	0.1819328681	inopinata
I	5100000	0.0847675	inopinata
I	5130000	0.06654125	inopinata
I	5140000	0.137024902	inopinata
I	5150000	0.3811233333	inopinata
I	5160000	0.1069885635	inopinata
I	5170000	0.1222037292	inopinata
I	5180000	0.2529275	inopinata
I	5200000	-0.040185	inopinata
I	5210000	0.1151890385	inopinata
I	5220000	-0.09495125	inopinata
I	5250000	-0.02632	inopinata
I	5270000	0.38172875	inopinata
I	5280000	0.2797219792	inopinata
I	5300000	0.2616401923	inopinata
I	5330000	0.2210228205	inopinata
I	5340000	0.1870924713	inopinata
I	5350000	0.08218329613	inopinata
I	5360000	-0.04600185185	inopinata
I	5370000	0.06718	inopinata
I	5380000	0.1417815333	inopinata
I	5390000	-0.1684654167	inopinata
I	5400000	0.1061196667	inopinata
I	5410000	0.2636485926	inopinata
I	5420000	0.30936045	inopinata
I	5430000	0.1010656667	inopinata
I	5440000	0.22468	inopinata
I	5470000	0.1094223333	inopinata
I	5480000	0.353108	inopinata
I	5490000	0.1435304286	inopinata
I	5500000	-0.06260952382	inopinata
I	5510000	-0.1512353278	inopinata
I	5520000	-0.1114669786	inopinata
I	5530000	-0.01983202747	inopinata
I	5540000	0.3009025	inopinata
I	5550000	0.1517598757	inopinata
I	5560000	0.209346224	inopinata
I	5570000	0.1279875	inopinata
I	5580000	0.1140497222	inopinata
I	5590000	0.2233275	inopinata
I	5600000	-0.0048325	inopinata
I	5610000	-0.03179388889	inopinata
I	5630000	0.1776191667	inopinata
I	5640000	0.114672856	inopinata
I	5660000	0.1880961667	inopinata
I	5680000	-0.04553188889	inopinata
I	5700000	0.06306666667	inopinata
I	5710000	0.2484581944	inopinata
I	5720000	0.09659181547	inopinata
I	5770000	0.05993818452	inopinata
I	5780000	0.1390138095	inopinata
I	5790000	0.2111936292	inopinata
I	5800000	0.1366755591	inopinata
I	5810000	0.006659166667	inopinata
I	5820000	0.144735	inopinata
I	5830000	0.3023977421	inopinata
I	5840000	0.30357	inopinata
I	5890000	0.1123444017	inopinata
I	5900000	0.2335715714	inopinata
I	5910000	0.2141981433	inopinata
I	5920000	0.003132222223	inopinata
I	5930000	0.125914	inopinata
I	5940000	0.1774087037	inopinata
I	5970000	0.40487875	inopinata
I	5990000	-0.1700680952	inopinata
I	6000000	0.1973176191	inopinata
I	6030000	-0.1303688015	inopinata
I	6050000	-0.2311238333	inopinata
I	6090000	-0.15154	inopinata
I	6100000	-0.03418114035	inopinata
I	6110000	0.1055225513	inopinata
I	6140000	0.07268	inopinata
I	6150000	0.242617049	inopinata
I	6160000	0.1282646212	inopinata
I	6170000	0.06955734127	inopinata
I	6180000	0.3937466667	inopinata
I	6190000	0.01030416666	inopinata
I	6210000	0.2167350924	inopinata
I	6220000	0.22605	inopinata
I	6230000	0.1386251111	inopinata
I	6250000	0.2223615278	inopinata
I	6260000	0.08174702382	inopinata
I	6270000	0.3630734615	inopinata
I	6280000	0.64865	inopinata
I	6290000	0.2788502593	inopinata
I	6310000	0.2231183042	inopinata
I	6320000	0.1324420317	inopinata
I	6330000	0.1219604545	inopinata
I	6340000	-0.051975	inopinata
I	6350000	0.1336743922	inopinata
I	6360000	0.1828816667	inopinata
I	6370000	0.2692483203	inopinata
I	6380000	0.6556975	inopinata
I	6400000	0.1775401563	inopinata
I	6410000	0.3062570833	inopinata
I	6420000	0.3265632792	inopinata
I	6430000	0.2810190674	inopinata
I	6440000	0.06303520833	inopinata
I	6450000	0.2266145	inopinata
I	6460000	0.244410625	inopinata
I	6470000	0.1128997333	inopinata
I	6480000	0.2171411111	inopinata
I	6490000	0.3186629167	inopinata
I	6500000	0.1442	inopinata
I	6510000	0.2911533333	inopinata
I	6530000	-0.009039666667	inopinata
I	6540000	0.2314346078	inopinata
I	6550000	-0.02980378431	inopinata
I	6560000	-0.156740804	inopinata
I	6590000	0.2437433333	inopinata
I	6600000	0.20110625	inopinata
I	6610000	0.22	inopinata
I	6620000	0.1020334375	inopinata
I	6630000	0.05908291667	inopinata
I	6640000	0.2669054796	inopinata
I	6650000	-0.02566	inopinata
I	6660000	-0.01149	inopinata
I	6670000	0.1525292593	inopinata
I	6680000	0.019386625	inopinata
I	6690000	0.07758076786	inopinata
I	6700000	0.1371288194	inopinata
I	6710000	0.0764248	inopinata
I	6720000	0.160509375	inopinata
I	6730000	0.12201	inopinata
I	6740000	0.1131478	inopinata
I	6750000	0.04129633333	inopinata
I	6760000	0.2025764583	inopinata
I	6770000	0.1176626381	inopinata
I	6780000	0.03520335	inopinata
I	6790000	-0.02260776786	inopinata
I	6800000	0.133934537	inopinata
I	6810000	0.1295920625	inopinata
I	6820000	0.1049746542	inopinata
I	6830000	0.23029275	inopinata
I	6840000	0.46053	inopinata
I	6860000	0.1754575	inopinata
I	6880000	0.11928	inopinata
I	6890000	0.0213355476	inopinata
I	6900000	0.3119834095	inopinata
I	6910000	-0.04173165873	inopinata
I	6920000	-0.06137	inopinata
I	6930000	0.06817172917	inopinata
I	6960000	0.13541145	inopinata
I	6970000	0.1116005952	inopinata
I	6980000	0.155436875	inopinata
I	6990000	0.11185875	inopinata
I	7000000	0.08133569872	inopinata
I	7010000	0.163768	inopinata
I	7020000	0.1183679705	inopinata
I	7030000	-0.054825	inopinata
I	7040000	0.2120987619	inopinata
I	7050000	-0.06489791666	inopinata
I	7060000	0.1629735556	inopinata
I	7070000	0.65054	inopinata
I	7080000	0.3453575	inopinata
I	7090000	0.05920487179	inopinata
I	7100000	0.236914375	inopinata
I	7110000	0.3523583917	inopinata
I	7120000	0.2143470476	inopinata
I	7130000	-0.17249	inopinata
I	7140000	0.1619552157	inopinata
I	7160000	0.09956036806	inopinata
I	7170000	-0.01767666667	inopinata
I	7180000	0.2288974161	inopinata
I	7190000	0.08006585526	inopinata
I	7200000	0.1193627778	inopinata
I	7210000	0.05928894444	inopinata
I	7220000	0.1235111	inopinata
I	7230000	0.1666469066	inopinata
I	7240000	0.2544467857	inopinata
I	7250000	0.445945	inopinata
I	7260000	0.1104222214	inopinata
I	7270000	-0.02340273809	inopinata
I	7280000	0.1096233568	inopinata
I	7290000	0.07633660318	inopinata
I	7300000	0.2250864015	inopinata
I	7310000	0.240583141	inopinata
I	7320000	0.122759	inopinata
I	7330000	0.31792	inopinata
I	7410000	0.18539	inopinata
I	7420000	-0.0766299	inopinata
I	7480000	-0.08082041668	inopinata
I	7520000	-0.1905777037	inopinata
I	7530000	0.1236813889	inopinata
I	7540000	0.098421	inopinata
I	7550000	0.2686716667	inopinata
I	7560000	-0.06513612963	inopinata
I	7580000	0.001096166667	inopinata
I	7590000	0.3436176667	inopinata
I	7600000	0.1428654583	inopinata
I	7610000	-0.2410761905	inopinata
I	7630000	-0.01181615741	inopinata
I	7640000	0.07986488095	inopinata
I	7650000	0.2379741667	inopinata
I	7660000	0.08357541667	inopinata
I	7670000	0.1537361538	inopinata
I	7680000	-0.0096675	inopinata
I	7690000	0.1171499603	inopinata
I	7700000	0.04644778439	inopinata
I	7710000	0.3503490217	inopinata
I	7720000	0.116688164	inopinata
I	7740000	0.333105	inopinata
I	7750000	0.3085841667	inopinata
I	7770000	0.3199491667	inopinata
I	7780000	0.3764691667	inopinata
I	7810000	-0.075265625	inopinata
I	7820000	0.2698964	inopinata
I	7840000	-0.039525	inopinata
I	7850000	0.05246995	inopinata
I	7860000	0.1799725794	inopinata
I	7900000	0.3065433333	inopinata
I	7910000	0.02926713333	inopinata
I	7920000	0.3134156818	inopinata
I	7930000	0.2266755101	inopinata
I	7940000	0.4338825	inopinata
I	7970000	-0.04645688889	inopinata
I	7980000	0.1684727451	inopinata
I	7990000	0.2747865625	inopinata
I	8000000	0.3043286458	inopinata
I	8010000	0.1803355278	inopinata
I	8020000	0.14942675	inopinata
I	8030000	0.1673730208	inopinata
I	8040000	0.1730280092	inopinata
I	8050000	0.1668845	inopinata
I	8060000	0.365895	inopinata
I	8070000	0.1421025756	inopinata
I	8080000	0.1206654141	inopinata
I	8090000	0.2632430952	inopinata
I	8120000	0.4382391667	inopinata
I	8140000	0.2061611111	inopinata
I	8150000	0.09498333333	inopinata
I	8160000	0.184922614	inopinata
I	8170000	0.1115375	inopinata
I	8190000	-0.02363777778	inopinata
I	8220000	0.1620364286	inopinata
I	8230000	0.01580331973	inopinata
I	8250000	0.12387	inopinata
I	8260000	0.1871250625	inopinata
I	8270000	0.3998625714	inopinata
I	8280000	0.1725907143	inopinata
I	8290000	0.2618769683	inopinata
I	8300000	0.5143848148	inopinata
I	8310000	0.04705942424	inopinata
I	8320000	0.491384	inopinata
I	8340000	0.2137271429	inopinata
I	8350000	0.06542	inopinata
I	8420000	0.1662759524	inopinata
I	8430000	0.3505730667	inopinata
I	8440000	0.058216875	inopinata
I	8460000	0.661946	inopinata
I	8470000	0.1076199306	inopinata
I	8480000	0.1445528571	inopinata
I	8490000	0.2377776667	inopinata
I	8500000	0.2015889298	inopinata
I	8510000	0.2289466667	inopinata
I	8520000	0.5730483333	inopinata
I	8530000	0.3305463349	inopinata
I	8540000	0.1646526042	inopinata
I	8550000	0.4053905833	inopinata
I	8560000	0.1703415	inopinata
I	8570000	0.3058234714	inopinata
I	8580000	0.3260708582	inopinata
I	8590000	0.4232340905	inopinata
I	8600000	0.05439624074	inopinata
I	8610000	0.3941988889	inopinata
I	8630000	0.1589395455	inopinata
I	8640000	0.138739697	inopinata
I	8650000	-0.04782926065	inopinata
I	8670000	0.02653433333	inopinata
I	8680000	0.1070399038	inopinata
I	8700000	0.300851	inopinata
I	8710000	0.1728411333	inopinata
I	8720000	0.1266444	inopinata
I	8730000	-0.03629153247	inopinata
I	8740000	0.0535578395	inopinata
I	8750000	0.041435	inopinata
I	8760000	0.08982	inopinata
I	8770000	0.09048960417	inopinata
I	8780000	0.2472805151	inopinata
I	8790000	0.18837565	inopinata
I	8800000	0.2220208333	inopinata
I	8810000	0.1316904762	inopinata
I	8820000	0.1797502778	inopinata
I	8830000	0.3995449667	inopinata
I	8850000	0.2258139583	inopinata
I	8860000	0.4650385714	inopinata
I	8870000	0.2270313095	inopinata
I	8910000	0.33683	inopinata
I	8920000	0.223214	inopinata
I	8930000	0.24561	inopinata
I	8940000	0.3264795833	inopinata
I	8950000	-0.1115154167	inopinata
I	8980000	0.07402669445	inopinata
I	8990000	0.21851	inopinata
I	9000000	-0.14706	inopinata
I	9020000	0.1717774167	inopinata
I	9030000	0.3405526987	inopinata
I	9040000	0.2529408333	inopinata
I	9050000	0.342415625	inopinata
I	9060000	0.06491222223	inopinata
I	9070000	0.2000571429	inopinata
I	9080000	0.1111728671	inopinata
I	9090000	0.02972386905	inopinata
I	9100000	0.356088	inopinata
I	9110000	-0.1638197667	inopinata
I	9120000	0.02675276923	inopinata
I	9130000	-0.1585933333	inopinata
I	9160000	-0.0874539	inopinata
I	9170000	-0.1914122222	inopinata
I	9180000	-0.07279720239	inopinata
I	9190000	-0.1056783333	inopinata
I	9200000	0.1717108642	inopinata
I	9210000	0.1874888167	inopinata
I	9220000	0.39063	inopinata
I	9230000	0.01294446296	inopinata
I	9240000	0.2261656145	inopinata
I	9250000	0.0966263398	inopinata
I	9260000	0.082315	inopinata
I	9270000	0.49014825	inopinata
I	9280000	0.2014709091	inopinata
I	9290000	0.1817039583	inopinata
I	9300000	0.3082828	inopinata
I	9310000	0.2752872222	inopinata
I	9330000	0.64865	inopinata
I	9350000	0.3008044697	inopinata
I	9360000	0.02280215741	inopinata
I	9370000	0.105310625	inopinata
I	9380000	0.03550738095	inopinata
I	9390000	0.4811375	inopinata
I	9400000	0.2139566	inopinata
I	9410000	0.063282375	inopinata
I	9430000	0.211648	inopinata
I	9440000	0.2025858849	inopinata
I	9460000	0.3257002083	inopinata
I	9470000	-0.03221340001	inopinata
I	9490000	0.1535265556	inopinata
I	9500000	0.1558147843	inopinata
I	9510000	0.1315244444	inopinata
I	9520000	0.15032375	inopinata
I	9530000	0.1018066667	inopinata
I	9570000	0.054482	inopinata
I	9580000	0.2148835714	inopinata
I	9590000	0.1178466667	inopinata
I	9600000	0.2962109259	inopinata
I	9610000	-0.08333	inopinata
I	9620000	0.0960975	inopinata
I	9630000	0.04285166667	inopinata
I	9640000	0.07880922222	inopinata
I	9650000	-0.06241720878	inopinata
I	9660000	0.343016875	inopinata
I	9670000	0.195674	inopinata
I	9680000	0.06534333334	inopinata
I	9700000	0.2034133333	inopinata
I	9710000	0.6752094445	inopinata
I	9720000	0.06365825362	inopinata
I	9730000	-0.02632	inopinata
I	9740000	-0.02632	inopinata
I	9750000	0.2270625926	inopinata
I	9760000	0.1653588889	inopinata
I	9770000	0.0979865	inopinata
I	9780000	-0.01757933333	inopinata
I	9790000	0.02477833333	inopinata
I	9800000	0.164637125	inopinata
I	9820000	0.3533131579	inopinata
I	9830000	0.20906	inopinata
I	9850000	0.2611895714	inopinata
I	9880000	0.06233355556	inopinata
I	9890000	-0.05405	inopinata
I	9900000	0.2227094871	inopinata
I	9910000	0.012835	inopinata
I	9920000	0.1012494368	inopinata
I	9930000	0.2050745	inopinata
I	9940000	0.06638	inopinata
I	9950000	0.4528717143	inopinata
I	9960000	0.1816016833	inopinata
I	9970000	0.493184	inopinata
I	9980000	0.5544547222	inopinata
I	9990000	0.3052830357	inopinata
I	10000000	0.2216506795	inopinata
I	10020000	0.084085	inopinata
I	10030000	-0.031128	inopinata
I	10040000	-0.05060544872	inopinata
I	10050000	0.09965016666	inopinata
I	10120000	0.1173936204	inopinata
I	10140000	-0.01651250001	inopinata
I	10160000	-0.11429	inopinata
I	10180000	-0.02632	inopinata
I	10190000	0.06031804924	inopinata
I	10200000	0.2420513542	inopinata
I	10210000	0.1843139583	inopinata
I	10220000	0.2869715877	inopinata
I	10230000	0.1979961481	inopinata
I	10240000	0.5984833333	inopinata
I	10260000	0.1146559074	inopinata
I	10280000	0.04009838065	inopinata
I	10290000	0.2052066765	inopinata
I	10300000	0.04309066666	inopinata
I	10310000	0.2157272807	inopinata
I	10320000	0.1937089048	inopinata
I	10330000	0.1451124078	inopinata
I	10340000	-0.057545	inopinata
I	10380000	0.07472292208	inopinata
I	10400000	0.2283167308	inopinata
I	10440000	-0.1805314583	inopinata
I	10450000	0.1175179762	inopinata
I	10460000	0.01068821052	inopinata
I	10470000	-0.05617766667	inopinata
I	10480000	0.3259316667	inopinata
I	10490000	0.3055175744	inopinata
