chr,start,end,mid,sites,pi_all,codon_position
I,3030001,3040000,3033307,229,0.0,1
I,3060001,3070000,3065452,240,0.0004,1
I,3090001,3100000,3093116,227,0.0004,1
I,3150001,3160000,3154330,269,0.0,1
I,3180001,3190000,3185145,498,0.0021,1
I,3190001,3200000,3196868,218,0.0,1
I,3220001,3230000,3226750,204,0.0021,1
I,3250001,3260000,3255248,170,0.0,1
I,3260001,3270000,3264558,224,0.0007,1
I,3300001,3310000,3304747,257,0.0003,1
I,3350001,3360000,3357083,238,0.0007,1
I,3360001,3370000,3368139,193,0.0009,1
I,3430001,3440000,3436478,623,0.0,1
I,3440001,3450000,3444365,299,0.003,1
I,3450001,3460000,3455469,503,0.001,1
I,3470001,3480000,3472215,201,0.0004,1
I,3480001,3490000,3484604,251,0.0,1
I,3490001,3500000,3494305,181,0.0,1
I,3500001,3510000,3505339,227,0.0004,1
I,3520001,3530000,3524864,215,0.0011,1
I,3530001,3540000,3539377,199,0.0004,1
I,3550001,3560000,3556188,239,0.0025,1
I,3560001,3570000,3565579,233,0.0,1
I,3570001,3580000,3573065,555,0.0003,1
I,3580001,3590000,3583272,261,0.0015,1
I,3610001,3620000,3613538,537,0.0,1
I,3630001,3640000,3633981,339,0.0003,1
I,3640001,3650000,3642037,194,0.0,1
I,3660001,3670000,3668234,196,0.0,1
I,3690001,3700000,3695347,692,0.0003,1
I,3710001,3720000,3715707,370,0.0002,1
I,3730001,3740000,3734302,429,0.0009,1
I,3770001,3780000,3775809,267,0.0,1
I,3780001,3790000,3785166,283,0.0006,1
I,3800001,3810000,3805344,205,0.0,1
I,3810001,3820000,3812780,358,0.0,1
I,3830001,3840000,3833483,413,0.0002,1
I,3840001,3850000,3840523,215,0.0004,1
I,3860001,3870000,3866230,246,0.0,1
I,3890001,3900000,3896723,168,0.0005,1
I,3900001,3910000,3905762,238,0.0,1
I,3920001,3930000,3921720,187,0.0,1
I,3930001,3940000,3937917,478,0.0004,1
I,3940001,3950000,3944003,819,0.0001,1
I,3950001,3960000,3950824,415,0.0004,1
I,3980001,3990000,3984934,222,0.0,1
I,4020001,4030000,4024991,373,0.0,1
I,4050001,4060000,4056019,323,0.0011,1
I,4060001,4070000,4067192,571,0.0,1
I,4070001,4080000,4072307,355,0.0,1
I,4080001,4090000,4084995,339,0.0,1
I,4090001,4100000,4096829,168,0.0005,1
I,4100001,4110000,4106409,395,0.0,1
I,4110001,4120000,4113971,432,0.0014,1
I,4130001,4140000,4135071,251,0.0003,1
I,4160001,4170000,4166014,265,0.0,1
I,4180001,4190000,4186738,308,0.0,1
I,4190001,4200000,4191420,225,0.0,1
I,4200001,4210000,4206734,524,0.0,1
I,4210001,4220000,4212802,416,0.0,1
I,4230001,4240000,4235404,363,0.0013,1
I,4240001,4250000,4245936,521,0.0,1
I,4250001,4260000,4254849,387,0.0,1
I,4260001,4270000,4267149,405,0.0,1
I,4300001,4310000,4303746,182,0.0,1
I,4320001,4330000,4325606,364,0.0002,1
I,4330001,4340000,4334428,449,0.0,1
I,4350001,4360000,4358922,272,0.0006,1
I,4380001,4390000,4383862,679,0.0001,1
I,4390001,4400000,4395611,1260,0.0,1
I,4420001,4430000,4425575,288,0.0,1
I,4440001,4450000,4448021,215,0.0,1
I,4450001,4460000,4454469,503,0.0011,1
I,4460001,4470000,4461073,222,0.0024,1
I,4500001,4510000,4501894,197,0.0,1
I,4510001,4520000,4514918,212,0.0,1
I,4530001,4540000,4538378,187,0.0,1
I,4550001,4560000,4556115,172,0.0,1
I,4560001,4570000,4563164,193,0.0,1
I,4580001,4590000,4583928,437,0.0002,1
I,4600001,4610000,4604274,352,0.0008,1
I,4610001,4620000,4612940,518,0.0002,1
I,4620001,4630000,4622526,425,0.0,1
I,4630001,4640000,4632947,205,0.0,1
I,4650001,4660000,4656195,315,0.0,1
I,4660001,4670000,4668983,304,0.0,1
I,4670001,4680000,4673308,178,0.0005,1
I,4690001,4700000,4692734,574,0.0,1
I,4700001,4710000,4706739,173,0.0011,1
I,4720001,4730000,4725435,316,0.0,1
I,4730001,4740000,4735683,457,0.0,1
I,4740001,4750000,4741857,298,0.0,1
I,4750001,4760000,4757413,335,0.0002,1
I,4770001,4780000,4774667,221,0.0,1
I,4790001,4800000,4791108,223,0.0022,1
I,4800001,4810000,4803740,164,0.0,1
I,4820001,4830000,4825739,718,0.0002,1
I,4830001,4840000,4833168,266,0.0,1
I,4900001,4910000,4903315,400,0.0,1
I,4910001,4920000,4913570,185,0.0,1
I,4920001,4930000,4925610,403,0.0,1
I,4930001,4940000,4933804,167,0.0,1
I,4960001,4970000,4967731,275,0.0,1
I,4980001,4990000,4985118,178,0.0,1
I,4990001,5000000,4991593,305,0.0,1
I,5000001,5010000,5004379,213,0.0,1
I,5050001,5060000,5056491,335,0.0,1
I,5060001,5070000,5061315,272,0.0,1
I,5080001,5090000,5083487,215,0.0,1
I,5100001,5110000,5104010,442,0.0,1
I,5110001,5120000,5115335,583,0.0001,1
I,5120001,5130000,5126430,533,0.0002,1
I,5130001,5140000,5135097,195,0.0,1
I,5140001,5150000,5146830,188,0.0006,1
I,5150001,5160000,5159159,326,0.0,1
I,5160001,5170000,5165204,819,0.0001,1
I,5170001,5180000,5175028,730,0.0002,1
I,5180001,5190000,5184549,313,0.0,1
I,5200001,5210000,5201756,227,0.0,1
I,5230001,5240000,5236220,372,0.0004,1
I,5240001,5250000,5246581,508,0.0003,1
I,5250001,5260000,5254577,665,0.0002,1
I,5260001,5270000,5266426,163,0.0,1
I,5270001,5280000,5274637,490,0.0,1
I,5300001,5310000,5302410,195,0.0,1
I,5320001,5330000,5326863,652,0.0001,1
I,5350001,5360000,5353021,289,0.0,1
I,5400001,5410000,5406953,182,0.0005,1
I,5420001,5430000,5425873,205,0.0,1
I,5430001,5440000,5436893,378,0.0002,1
I,5480001,5490000,5485666,355,0.0002,1
I,5500001,5510000,5503961,200,0.0,1
I,5510001,5520000,5513859,378,0.0002,1
I,5520001,5530000,5524902,615,0.0,1
I,5540001,5550000,5547828,249,0.0,1
I,5560001,5570000,5565548,603,0.0,1
I,5570001,5580000,5574957,348,0.0,1
I,5580001,5590000,5584526,347,0.0,1
I,5590001,5600000,5594571,241,0.0018,1
I,5600001,5610000,5606952,167,0.0,1
I,5610001,5620000,5614120,471,0.0,1
I,5620001,5630000,5624971,217,0.0004,1
I,5630001,5640000,5634468,189,0.0,1
I,5640001,5650000,5647344,355,0.0,1
I,5650001,5660000,5654295,991,0.0002,1
I,5660001,5670000,5662603,450,0.0005,1
I,5670001,5680000,5673919,263,0.0,1
I,5680001,5690000,5685964,208,0.0004,1
I,5770001,5780000,5771904,182,0.0,1
I,5790001,5800000,5795324,570,0.0,1
I,5800001,5810000,5805767,621,0.0005,1
I,5810001,5820000,5814911,886,0.0001,1
I,5820001,5830000,5825330,508,0.0009,1
I,5830001,5840000,5833734,265,0.0,1
I,5840001,5850000,5846095,436,0.0004,1
I,5850001,5860000,5853686,385,0.0,1
I,5860001,5870000,5865862,605,0.0,1
I,5870001,5880000,5875924,461,0.0,1
I,5890001,5900000,5894178,313,0.0,1
I,5900001,5910000,5902851,191,0.0,1
I,5910001,5920000,5917256,493,0.0,1
I,5920001,5930000,5925557,580,0.0004,1
I,5930001,5940000,5932327,505,0.0003,1
I,5940001,5950000,5945438,381,0.0002,1
I,5960001,5970000,5965672,352,0.0005,1
I,5980001,5990000,5985951,228,0.0,1
I,5990001,6000000,5994044,260,0.0003,1
I,6000001,6010000,6006933,175,0.0014,1
I,6010001,6020000,6014680,754,0.0008,1
I,6020001,6030000,6025312,329,0.0,1
I,6030001,6040000,6033888,382,0.0009,1
I,6040001,6050000,6045160,385,0.0002,1
I,6050001,6060000,6057243,455,0.0009,1
I,6060001,6070000,6063404,349,0.0012,1
I,6080001,6090000,6084445,274,0.0,1
I,6100001,6110000,6107699,178,0.0005,1
I,6110001,6120000,6111906,160,0.0,1
I,6120001,6130000,6124329,172,0.0,1
I,6140001,6150000,6144720,217,0.0,1
I,6150001,6160000,6152428,204,0.0008,1
I,6180001,6190000,6188159,458,0.0002,1
I,6190001,6200000,6191321,357,0.0,1
I,6200001,6210000,6203839,324,0.0003,1
I,6210001,6220000,6214110,472,0.0,1
I,6240001,6250000,6245601,660,0.0001,1
I,6250001,6260000,6255760,355,0.0,1
I,6260001,6270000,6266702,196,0.0,1
I,6300001,6310000,6304358,389,0.0,1
I,6310001,6320000,6313074,255,0.0,1
I,6340001,6350000,6344231,292,0.0,1
I,6350001,6360000,6356522,311,0.0,1
I,6360001,6370000,6367293,277,0.0,1
I,6370001,6380000,6374992,382,0.0,1
I,6380001,6390000,6385513,243,0.0,1
I,6400001,6410000,6404925,169,0.0005,1
I,6410001,6420000,6410673,182,0.0,1
I,6420001,6430000,6424724,434,0.0,1
I,6440001,6450000,6446179,615,0.0007,1
I,6450001,6460000,6453348,228,0.0,1
I,6460001,6470000,6464473,322,0.0003,1
I,6480001,6490000,6485027,243,0.0,1
I,6490001,6500000,6496301,332,0.0002,1
I,6500001,6510000,6506526,254,0.0,1
I,6510001,6520000,6517419,180,0.0,1
I,6540001,6550000,6544573,643,0.0001,1
I,6550001,6560000,6553827,512,0.0,1
I,6560001,6570000,6563570,899,0.0,1
I,6590001,6600000,6597730,281,0.0,1
I,6600001,6610000,6602167,308,0.0,1
I,6610001,6620000,6616404,265,0.0006,1
I,6620001,6630000,6623822,315,0.0003,1
I,6660001,6670000,6667124,317,0.0,1
I,6700001,6710000,6706819,210,0.0004,1
I,6720001,6730000,6724981,342,0.0,1
I,6730001,6740000,6734373,652,0.0,1
I,6740001,6750000,6746384,374,0.001,1
I,6750001,6760000,6753996,221,0.0,1
I,6790001,6800000,6796407,434,0.001,1
I,6830001,6840000,6837806,280,0.0,1
I,6840001,6850000,6844956,205,0.0,1
I,6850001,6860000,6854234,303,0.0,1
I,6870001,6880000,6873447,280,0.0,1
I,6880001,6890000,6887725,218,0.0004,1
I,6890001,6900000,6892538,291,0.0003,1
I,6900001,6910000,6905522,495,0.0,1
I,6910001,6920000,6914755,520,0.0002,1
I,6920001,6930000,6923833,263,0.0,1
I,6930001,6940000,6937786,194,0.0004,1
I,6940001,6950000,6945552,266,0.0,1
I,6970001,6980000,6973888,256,0.0,1
I,6990001,7000000,6992719,197,0.0004,1
I,7010001,7020000,7015547,554,0.0005,1
I,7020001,7030000,7023971,182,0.0,1
I,7050001,7060000,7056992,179,0.0,1
I,7080001,7090000,7085465,272,0.0006,1
I,7090001,7100000,7094759,589,0.0003,1
I,7110001,7120000,7117038,293,0.0,1
I,7130001,7140000,7135490,257,0.0,1
I,7150001,7160000,7154566,478,0.0,1
I,7160001,7170000,7164088,789,0.0,1
I,7180001,7190000,7185417,289,0.0003,1
I,7190001,7200000,7191752,466,0.0,1
I,7200001,7210000,7204223,187,0.0004,1
I,7220001,7230000,7225689,462,0.0002,1
I,7230001,7240000,7233731,580,0.0001,1
I,7250001,7260000,7254128,417,0.0,1
I,7260001,7270000,7261070,170,0.0,1
I,7290001,7300000,7294495,480,0.0002,1
I,7300001,7310000,7305511,445,0.0,1
I,7310001,7320000,7312819,280,0.0,1
I,7340001,7350000,7345846,218,0.0,1
I,7350001,7360000,7353096,371,0.0,1
I,7360001,7370000,7362415,171,0.0,1
I,7450001,7460000,7452947,534,0.0,1
I,7480001,7490000,7488690,394,0.0,1
I,7500001,7510000,7504614,322,0.0016,1
I,7510001,7520000,7511917,253,0.0,1
I,7530001,7540000,7533113,175,0.0,1
I,7550001,7560000,7557218,634,0.0,1
I,7560001,7570000,7565062,811,0.0,1
I,7580001,7590000,7586048,799,0.0,1
I,7590001,7600000,7594070,503,0.0002,1
I,7600001,7610000,7604760,578,0.0001,1
I,7610001,7620000,7617468,313,0.0003,1
I,7620001,7630000,7628664,492,0.0005,1
I,7630001,7640000,7634963,966,0.0002,1
I,7640001,7650000,7646901,485,0.0,1
I,7650001,7660000,7654330,394,0.0,1
I,7670001,7680000,7675398,303,0.0,1
I,7680001,7690000,7683846,537,0.0003,1
I,7690001,7700000,7695286,277,0.0003,1
I,7700001,7710000,7703118,279,0.0,1
I,7730001,7740000,7735662,741,0.0004,1
I,7760001,7770000,7768970,161,0.0,1
I,7820001,7830000,7826238,239,0.0,1
I,7830001,7840000,7834332,352,0.0,1
I,7840001,7850000,7847643,189,0.0,1
I,7850001,7860000,7854193,587,0.0,1
I,7870001,7880000,7871314,397,0.0,1
I,7890001,7900000,7892388,257,0.0,1
I,7900001,7910000,7901285,198,0.0009,1
I,7920001,7930000,7924480,557,0.0,1
I,7930001,7940000,7935442,744,0.0002,1
I,7940001,7950000,7946118,269,0.0006,1
I,7950001,7960000,7955659,279,0.0017,1
I,7960001,7970000,7965052,578,0.0001,1
I,7970001,7980000,7974848,204,0.0,1
I,8010001,8020000,8016577,416,0.0,1
I,8020001,8030000,8024052,618,0.0,1
I,8030001,8040000,8034705,454,0.0002,1
I,8040001,8050000,8041736,206,0.0,1
I,8050001,8060000,8053328,379,0.0,1
I,8060001,8070000,8065108,566,0.0,1
I,8070001,8080000,8076878,419,0.0,1
I,8080001,8090000,8086639,459,0.0,1
I,8090001,8100000,8094845,178,0.0,1
I,8150001,8160000,8156832,334,0.0005,1
I,8160001,8170000,8166200,434,0.0,1
I,8170001,8180000,8175293,212,0.0013,1
I,8220001,8230000,8223859,357,0.0,1
I,8240001,8250000,8245697,231,0.0,1
I,8290001,8300000,8296775,456,0.0,1
I,8310001,8320000,8318095,223,0.001,1
I,8320001,8330000,8323900,342,0.0,1
I,8330001,8340000,8336454,454,0.0,1
I,8340001,8350000,8342583,391,0.0,1
I,8350001,8360000,8357526,219,0.0,1
I,8360001,8370000,8365876,634,0.0049,1
I,8370001,8380000,8376578,217,0.0,1
I,8390001,8400000,8397414,259,0.0,1
I,8410001,8420000,8415250,330,0.0005,1
I,8420001,8430000,8423845,309,0.0,1
I,8430001,8440000,8434455,521,0.0,1
I,8440001,8450000,8447089,221,0.0,1
I,8460001,8470000,8465651,218,0.0,1
I,8470001,8480000,8472612,224,0.0007,1
I,8480001,8490000,8487979,276,0.0,1
I,8490001,8500000,8494126,347,0.0,1
I,8520001,8530000,8526006,417,0.0,1
I,8530001,8540000,8530903,191,0.0,1
I,8550001,8560000,8553466,803,0.0001,1
I,8570001,8580000,8575636,266,0.0006,1
I,8590001,8600000,8594748,458,0.0,1
I,8600001,8610000,8603555,179,0.0,1
I,8610001,8620000,8612932,217,0.0,1
I,8630001,8640000,8636802,184,0.0,1
I,8640001,8650000,8642454,241,0.0,1
I,8660001,8670000,8663970,200,0.0,1
I,8690001,8700000,8695159,418,0.0004,1
I,8700001,8710000,8703898,292,0.0,1
I,8730001,8740000,8734276,330,0.0002,1
I,8740001,8750000,8743453,201,0.0,1
I,8750001,8760000,8754223,469,0.0,1
I,8760001,8770000,8766812,342,0.0007,1
I,8770001,8780000,8773905,168,0.0,1
I,8790001,8800000,8795040,418,0.0005,1
I,8800001,8810000,8804700,393,0.0,1
I,8810001,8820000,8814762,537,0.0002,1
I,8820001,8830000,8825589,654,0.0004,1
I,8830001,8840000,8833654,798,0.0,1
I,8840001,8850000,8846387,478,0.0002,1
I,8870001,8880000,8876909,240,0.0003,1
I,8880001,8890000,8885917,192,0.0,1
I,8890001,8900000,8893946,383,0.0,1
I,8900001,8910000,8906261,501,0.0002,1
I,8910001,8920000,8914284,822,0.0004,1
I,8920001,8930000,8923723,231,0.0,1
I,8950001,8960000,8954786,367,0.0,1
I,8960001,8970000,8967121,769,0.0001,1
I,8970001,8980000,8977827,584,0.0001,1
I,8980001,8990000,8981562,340,0.0,1
I,8990001,9000000,8996327,334,0.0005,1
I,9000001,9010000,9007053,202,0.0,1
I,9010001,9020000,9012338,206,0.0,1
I,9020001,9030000,9024067,295,0.0,1
I,9030001,9040000,9032912,195,0.0,1
I,9040001,9050000,9044559,310,0.0003,1
I,9060001,9070000,9063562,230,0.0,1
I,9070001,9080000,9077635,262,0.0003,1
I,9110001,9120000,9118603,185,0.0004,1
I,9120001,9130000,9122746,359,0.0007,1
I,9140001,9150000,9142574,407,0.0,1
I,9150001,9160000,9156679,178,0.0,1
I,9160001,9170000,9161348,320,0.0007,1
I,9220001,9230000,9224106,194,0.0004,1
I,9230001,9240000,9235367,188,0.0,1
I,9240001,9250000,9240942,188,0.0,1
I,9250001,9260000,9256164,295,0.0,1
I,9260001,9270000,9266119,221,0.0,1
I,9280001,9290000,9284810,259,0.0009,1
I,9310001,9320000,9316814,484,0.0,1
I,9320001,9330000,9322937,717,0.0001,1
I,9330001,9340000,9337217,248,0.0,1
I,9360001,9370000,9366436,381,0.0,1
I,9410001,9420000,9415535,255,0.0,1
I,9420001,9430000,9423020,169,0.0,1
I,9480001,9490000,9486006,361,0.0006,1
I,9490001,9500000,9493248,250,0.0,1
I,9500001,9510000,9506517,505,0.0,1
I,9510001,9520000,9515141,421,0.0,1
I,9580001,9590000,9585975,702,0.0001,1
I,9600001,9610000,9608379,230,0.001,1
I,9610001,9620000,9617308,595,0.0,1
I,9620001,9630000,9624612,268,0.0,1
I,9640001,9650000,9643701,560,0.0003,1
I,9650001,9660000,9653643,173,0.0018,1
I,9680001,9690000,9687972,271,0.0003,1
I,9720001,9730000,9725683,167,0.0,1
I,9740001,9750000,9745573,408,0.0002,1
I,9750001,9760000,9755424,186,0.0,1
I,9780001,9790000,9784564,558,0.0,1
I,9800001,9810000,9809642,198,0.0008,1
I,9860001,9870000,9866445,257,0.0,1
I,9890001,9900000,9893960,293,0.0,1
I,9920001,9930000,9926417,215,0.0,1
I,9950001,9960000,9954559,417,0.0,1
I,9960001,9970000,9965658,454,0.0,1
I,9970001,9980000,9977845,366,0.0,1
I,9980001,9990000,9983301,384,0.0,1
I,9990001,10000000,9993030,532,0.0,1
I,10020001,10030000,10025086,187,0.0,1
I,10040001,10050000,10047110,265,0.0,1
I,10050001,10060000,10054436,370,0.0,1
I,10070001,10080000,10072180,166,0.001,1
I,10110001,10120000,10112837,247,0.0003,1
I,10120001,10130000,10124704,662,0.0,1
I,10160001,10170000,10162861,251,0.0,1
I,10180001,10190000,10184817,384,0.0,1
I,10190001,10200000,10195263,392,0.0,1
I,10220001,10230000,10225426,224,0.0,1
I,10250001,10260000,10256314,168,0.0,1
I,10260001,10270000,10267899,1053,0.0083,1
I,10270001,10280000,10273723,1791,0.0023,1
I,10290001,10300000,10295898,185,0.0,1
I,10320001,10330000,10325723,443,0.0018,1
I,10330001,10340000,10334045,251,0.0,1
I,10340001,10350000,10345529,595,0.0,1
I,10350001,10360000,10358411,231,0.0,1
I,10370001,10380000,10378230,211,0.0,1
I,10380001,10390000,10386666,222,0.0,1
I,10390001,10400000,10395963,224,0.0,1
I,10430001,10440000,10436312,323,0.0,1
I,10440001,10450000,10445994,176,0.0,1
I,10460001,10470000,10466350,225,0.0,1
I,10470001,10480000,10474591,563,0.0001,1
I,10480001,10490000,10483931,244,0.0,1
I,10510001,10520000,10513279,238,0.0003,1
I,10520001,10530000,10521306,167,0.0,1
I,10550001,10560000,10555913,360,0.0002,1
I,10560001,10570000,10568540,186,0.0,1
I,10570001,10580000,10576296,401,0.0,1
I,10580001,10590000,10582762,212,0.0,1
I,10590001,10600000,10594551,484,0.0003,1
I,10600001,10610000,10608162,277,0.0,1
I,10610001,10620000,10613896,480,0.0,1
I,10620001,10630000,10626116,290,0.0,1
I,10630001,10640000,10636401,285,0.0,1
I,10640001,10650000,10645046,265,0.0009,1
I,10650001,10660000,10657259,275,0.0017,1
I,10670001,10680000,10675326,596,0.0004,1
I,10680001,10690000,10684253,401,0.0,1
I,10710001,10720000,10715592,228,0.0029,1
I,10720001,10730000,10723127,299,0.0003,1
I,10730001,10740000,10734534,512,0.0009,1
I,10740001,10750000,10742732,194,0.0,1
I,10770001,10780000,10773972,235,0.0,1
I,10780001,10790000,10788246,242,0.0003,1
I,10790001,10800000,10793469,927,0.0002,1
I,10800001,10810000,10805603,322,0.0003,1
I,10810001,10820000,10812363,228,0.0,1
I,10820001,10830000,10825854,296,0.0,1
I,10830001,10840000,10833413,169,0.0005,1
I,10840001,10850000,10845227,639,0.0004,1
I,10860001,10870000,10864863,366,0.0002,1
I,10870001,10880000,10875302,241,0.0003,1
I,10880001,10890000,10884924,631,0.001,1
I,10930001,10940000,10935730,236,0.0,1
I,10970001,10980000,10976665,185,0.0013,1
I,11010001,11020000,11014107,294,0.0008,1
I,11270001,11280000,11277285,224,0.0,1
I,11280001,11290000,11287341,266,0.0,1
I,11290001,11300000,11292741,160,0.0,1
I,11330001,11340000,11334753,200,0.0012,1
I,11420001,11430000,11424459,230,0.0004,1
I,11500001,11510000,11503660,308,0.0028,1
I,11540001,11550000,11542022,165,0.0,1
I,11560001,11570000,11563790,318,0.0002,1
I,11570001,11580000,11574786,231,0.001,1
I,11630001,11640000,11635805,277,0.0015,1
I,11650001,11660000,11652524,458,0.0016,1
I,11700001,11710000,11704212,224,0.0041,1
I,11710001,11720000,11715510,243,0.0042,1
I,11740001,11750000,11745234,470,0.0009,1
I,11750001,11760000,11751290,163,0.0,1
I,11770001,11780000,11773089,339,0.0,1
I,11900001,11910000,11908638,274,0.0006,1
I,11910001,11920000,11912962,243,0.0,1
I,12010001,12020000,12015945,476,0.0008,1
I,12100001,12110000,12105718,359,0.0084,1
I,12180001,12190000,12183869,168,0.0,1
I,12200001,12210000,12204369,220,0.0088,1
I,12210001,12220000,12213338,308,0.0,1
I,12240001,12250000,12246017,431,0.0009,1
I,12250001,12260000,12253083,160,0.0018,1
I,12290001,12300000,12292599,210,0.0015,1
I,12300001,12310000,12305497,646,0.0023,1
I,12310001,12320000,12317601,320,0.0038,1
I,12320001,12330000,12323552,325,0.0007,1
I,12330001,12340000,12333418,242,0.0005,1
I,12340001,12350000,12343774,341,0.0005,1
I,12350001,12360000,12356991,213,0.0,1
I,12360001,12370000,12364496,178,0.0009,1
I,12380001,12390000,12383271,302,0.0029,1
I,12390001,12400000,12394022,461,0.0013,1
I,12400001,12410000,12404292,447,0.0012,1
I,12410001,12420000,12415545,271,0.0024,1
I,12420001,12430000,12423305,190,0.0037,1
I,12430001,12440000,12433886,358,0.0015,1
I,12440001,12450000,12445084,233,0.0023,1
I,12490001,12500000,12494174,218,0.0,1
I,12500001,12510000,12506038,360,0.0003,1
I,12530001,12540000,12537878,189,0.0,1
I,12560001,12570000,12563277,266,0.0021,1
I,12650001,12660000,12653680,231,0.0,1
I,12670001,12680000,12672750,172,0.0,1
I,12680001,12690000,12688199,226,0.0011,1
I,12690001,12700000,12695214,356,0.0111,1
I,12700001,12710000,12704734,597,0.0043,1
I,12720001,12730000,12723756,225,0.0,1
I,12750001,12760000,12750922,181,0.0005,1
I,12770001,12780000,12775451,278,0.002,1
I,12790001,12800000,12794933,229,0.0004,1
I,12800001,12810000,12806447,237,0.0012,1
I,12810001,12820000,12812589,229,0.0017,1
I,12860001,12870000,12867316,360,0.0015,1
I,12880001,12890000,12886895,519,0.0006,1
I,12940001,12950000,12946617,369,0.0,1
I,12950001,12960000,12955671,530,0.0029,1
I,12960001,12970000,12964170,569,0.0001,1
I,13050001,13060000,13056643,347,0.0014,1
I,13100001,13110000,13107109,339,0.0022,1
I,13120001,13130000,13124824,182,0.0,1
I,13150001,13160000,13155974,506,0.0027,1
I,13160001,13170000,13166713,173,0.0005,1
I,13170001,13180000,13176611,447,0.0004,1
I,13180001,13190000,13183678,370,0.0017,1
I,13200001,13210000,13204892,493,0.0009,1
I,13210001,13220000,13216822,598,0.0063,1
I,13230001,13240000,13235968,482,0.0002,1
I,13240001,13250000,13246398,370,0.0013,1
I,13260001,13270000,13263367,485,0.0027,1
I,13270001,13280000,13272954,194,0.0004,1
I,13290001,13300000,13296504,616,0.0004,1
I,13300001,13310000,13305783,422,0.001,1
I,13310001,13320000,13313298,271,0.0,1
I,13320001,13330000,13327886,273,0.0,1
I,13330001,13340000,13337056,245,0.0,1
I,13340001,13350000,13342839,194,0.0,1
I,13350001,13360000,13353513,188,0.0,1
I,13380001,13390000,13386807,371,0.003,1
I,13390001,13400000,13395405,172,0.0,1
I,13430001,13440000,13432852,216,0.0,1
I,13460001,13470000,13467242,215,0.0,1
I,13470001,13480000,13472652,263,0.0,1
I,13490001,13500000,13491590,229,0.0,1
I,13510001,13520000,13516964,178,0.0,1
I,13530001,13540000,13537737,177,0.0006,1
I,13550001,13560000,13555705,431,0.0,1
I,13560001,13570000,13562202,175,0.0,1
I,13570001,13580000,13575439,288,0.0,1
I,13600001,13610000,13605246,304,0.0,1
I,13650001,13660000,13658273,223,0.0,1
I,13670001,13680000,13673502,274,0.0003,1
I,13680001,13690000,13684825,184,0.0,1
I,13770001,13780000,13775973,203,0.0,1
I,13780001,13790000,13786533,235,0.0014,1
I,13820001,13830000,13824820,355,0.0005,1
I,13850001,13860000,13854155,360,0.0007,1
