chr,start,end,mid,sites,pi_all,fold_degeneracy
I,2190001,2200000,2195667,322,0.0,0
I,2200001,2210000,2201994,202,0.0041,0
I,2210001,2220000,2217099,183,0.0005,0
I,2220001,2230000,2226617,227,0.0023,0
I,2230001,2240000,2237283,730,0.0006,0
I,2250001,2260000,2257489,325,0.0003,0
I,2260001,2270000,2265023,379,0.0002,0
I,2290001,2300000,2294596,334,0.0,0
I,2300001,2310000,2304761,1068,0.0002,0
I,2310001,2320000,2314332,943,0.0005,0
I,2320001,2330000,2324731,330,0.0003,0
I,2380001,2390000,2388538,216,0.0011,0
I,2400001,2410000,2408733,257,0.0019,0
I,2450001,2460000,2453768,281,0.0,0
I,2470001,2480000,2478505,251,0.0003,0
I,2480001,2490000,2486396,359,0.0,0
I,2550001,2560000,2555213,399,0.0011,0
I,2580001,2590000,2589063,256,0.0,0
I,2590001,2600000,2592871,410,0.0,0
I,2610001,2620000,2615101,225,0.0006,0
I,2620001,2630000,2623372,880,0.0004,0
I,2640001,2650000,2643346,322,0.0,0
I,2670001,2680000,2676136,235,0.0,0
I,2710001,2720000,2714002,427,0.0,0
I,2750001,2760000,2757895,410,0.0002,0
I,2770001,2780000,2775439,165,0.0037,0
I,2780001,2790000,2785112,736,0.0016,0
I,2790001,2800000,2798401,194,0.0035,0
I,2800001,2810000,2806250,512,0.0012,0
I,2810001,2820000,2812905,831,0.0008,0
I,2840001,2850000,2847455,239,0.0003,0
I,2850001,2860000,2855292,183,0.0005,0
I,2880001,2890000,2886283,549,0.0002,0
I,2890001,2900000,2895352,554,0.0,0
I,2910001,2920000,2915164,398,0.0007,0
I,2920001,2930000,2924978,412,0.0002,0
I,2950001,2960000,2952250,468,0.0007,0
I,2980001,2990000,2983905,250,0.0006,0
I,2990001,3000000,2995120,380,0.0014,0
I,3010001,3020000,3013510,605,0.0001,0
I,3030001,3040000,3033282,420,0.0,0
I,3050001,3060000,3057153,277,0.0011,0
I,3060001,3070000,3065436,421,0.0002,0
I,3090001,3100000,3093148,399,0.0,0
I,3100001,3110000,3107771,255,0.0,0
I,3140001,3150000,3143997,191,0.0,0
I,3150001,3160000,3154319,476,0.0003,0
I,3180001,3190000,3185090,876,0.0009,0
I,3190001,3200000,3196909,398,0.0013,0
I,3210001,3220000,3211338,222,0.0,0
I,3220001,3230000,3226778,365,0.0011,0
I,3230001,3240000,3235895,232,0.0,0
I,3240001,3250000,3245541,175,0.0,0
I,3250001,3260000,3255127,300,0.0,0
I,3260001,3270000,3264598,393,0.0004,0
I,3270001,3280000,3273508,193,0.0008,0
I,3290001,3300000,3292663,281,0.0,0
I,3300001,3310000,3304741,443,0.0002,0
I,3340001,3350000,3346648,188,0.0,0
I,3350001,3360000,3357105,416,0.0002,0
I,3360001,3370000,3368242,350,0.0004,0
I,3370001,3380000,3371025,229,0.0007,0
I,3380001,3390000,3387238,272,0.0014,0
I,3390001,3400000,3396082,166,0.0025,0
I,3400001,3410000,3402220,217,0.0022,0
I,3430001,3440000,3436509,1097,0.0001,0
I,3440001,3450000,3444371,533,0.002,0
I,3450001,3460000,3455442,896,0.0006,0
I,3460001,3470000,3469447,167,0.0,0
I,3470001,3480000,3472194,357,0.0005,0
I,3480001,3490000,3484569,445,0.0002,0
I,3490001,3500000,3494348,317,0.0,0
I,3500001,3510000,3505340,360,0.0,0
I,3510001,3520000,3511069,243,0.0,0
I,3520001,3530000,3524840,378,0.0009,0
I,3530001,3540000,3539370,344,0.0005,0
I,3540001,3550000,3543051,185,0.0,0
I,3550001,3560000,3556054,437,0.0012,0
I,3560001,3570000,3565553,419,0.0009,0
I,3570001,3580000,3573115,951,0.0,0
I,3580001,3590000,3583303,445,0.0011,0
I,3590001,3600000,3596723,262,0.0,0
I,3610001,3620000,3613521,945,0.0001,0
I,3620001,3630000,3626778,178,0.0,0
I,3630001,3640000,3633917,607,0.0,0
I,3640001,3650000,3641955,338,0.0003,0
I,3660001,3670000,3668177,339,0.0,0
I,3680001,3690000,3681013,172,0.0,0
I,3690001,3700000,3695320,1238,0.0001,0
I,3710001,3720000,3715733,662,0.0002,0
I,3720001,3730000,3727354,261,0.0,0
I,3730001,3740000,3734288,770,0.0006,0
I,3740001,3750000,3742085,166,0.0,0
I,3750001,3760000,3754295,200,0.0005,0
I,3770001,3780000,3775781,466,0.0,0
I,3780001,3790000,3785284,503,0.0003,0
I,3800001,3810000,3805257,371,0.0,0
I,3810001,3820000,3812703,620,0.0,0
I,3820001,3830000,3825111,245,0.0,0
I,3830001,3840000,3833480,754,0.0009,0
I,3840001,3850000,3840519,390,0.0002,0
I,3850001,3860000,3859619,201,0.0,0
I,3860001,3870000,3866211,440,0.0,0
I,3870001,3880000,3872003,181,0.0,0
I,3880001,3890000,3883131,263,0.0013,0
I,3890001,3900000,3896723,292,0.0003,0
I,3900001,3910000,3905872,408,0.0,0
I,3910001,3920000,3911908,213,0.0004,0
I,3920001,3930000,3921716,342,0.0002,0
I,3930001,3940000,3937921,859,0.0006,0
I,3940001,3950000,3943975,1464,0.0001,0
I,3950001,3960000,3950817,750,0.0002,0
I,3980001,3990000,3984953,408,0.0,0
I,3990001,4000000,3995979,300,0.0005,0
I,4020001,4030000,4024990,662,0.0,0
I,4030001,4040000,4038327,220,0.0004,0
I,4050001,4060000,4056023,582,0.0007,0
I,4060001,4070000,4067183,1060,0.0,0
I,4070001,4080000,4072299,626,0.0,0
I,4080001,4090000,4084939,619,0.0,0
I,4090001,4100000,4096810,295,0.0003,0
I,4100001,4110000,4106418,717,0.0009,0
I,4110001,4120000,4113942,779,0.0014,0
I,4120001,4130000,4128068,243,0.0019,0
I,4130001,4140000,4135096,445,0.0002,0
I,4150001,4160000,4154528,261,0.0003,0
I,4160001,4170000,4166015,453,0.0,0
I,4180001,4190000,4186763,560,0.0004,0
I,4190001,4200000,4191414,409,0.0,0
I,4200001,4210000,4206674,933,0.0003,0
I,4210001,4220000,4212813,740,0.0,0
I,4230001,4240000,4235407,638,0.0003,0
I,4240001,4250000,4245883,924,0.0003,0
I,4250001,4260000,4254892,692,0.0,0
I,4260001,4270000,4267158,722,0.0008,0
I,4300001,4310000,4303818,325,0.0,0
I,4320001,4330000,4325610,643,0.0003,0
I,4330001,4340000,4334472,812,0.0002,0
I,4340001,4350000,4340269,227,0.0016,0
I,4350001,4360000,4358907,475,0.0003,0
I,4360001,4370000,4365448,227,0.0004,0
I,4380001,4390000,4383821,1213,0.0002,0
I,4390001,4400000,4395634,2234,0.0,0
I,4410001,4420000,4412388,229,0.0004,0
I,4420001,4430000,4425584,516,0.0,0
I,4430001,4440000,4430247,261,0.0,0
I,4440001,4450000,4447987,380,0.0,0
I,4450001,4460000,4454448,897,0.0007,0
I,4460001,4470000,4461090,348,0.0017,0
I,4490001,4500000,4492314,268,0.0,0
I,4500001,4510000,4501886,346,0.0,0
I,4510001,4520000,4514908,362,0.0,0
I,4520001,4530000,4524750,244,0.0007,0
I,4530001,4540000,4538386,328,0.0003,0
I,4550001,4560000,4556125,299,0.0007,0
I,4560001,4570000,4563201,335,0.0,0
I,4580001,4590000,4583892,754,0.0006,0
I,4600001,4610000,4604280,622,0.0004,0
I,4610001,4620000,4612949,911,0.0,0
I,4620001,4630000,4622541,758,0.0001,0
I,4630001,4640000,4632944,367,0.0,0
I,4650001,4660000,4656253,546,0.0,0
I,4660001,4670000,4668988,530,0.0006,0
I,4670001,4680000,4673212,307,0.0005,0
I,4680001,4690000,4684849,272,0.0003,0
I,4690001,4700000,4692768,1039,0.0,0
I,4700001,4710000,4706787,302,0.0013,0
I,4720001,4730000,4725351,561,0.0003,0
I,4730001,4740000,4735630,798,0.0,0
I,4740001,4750000,4741862,534,0.0001,0
I,4750001,4760000,4757375,577,0.0001,0
I,4770001,4780000,4774645,393,0.0,0
I,4790001,4800000,4791117,387,0.0009,0
I,4800001,4810000,4803757,287,0.0,0
I,4820001,4830000,4825803,1283,0.0002,0
I,4830001,4840000,4833182,471,0.0,0
I,4850001,4860000,4851588,222,0.0,0
I,4880001,4890000,4886492,196,0.0,0
I,4890001,4900000,4895985,267,0.0,0
I,4900001,4910000,4903308,721,0.0,0
I,4910001,4920000,4913497,331,0.0002,0
I,4920001,4930000,4925605,709,0.0,0
I,4930001,4940000,4933823,292,0.0,0
I,4940001,4950000,4945659,222,0.0,0
I,4960001,4970000,4967667,481,0.0005,0
I,4980001,4990000,4985211,304,0.0,0
I,4990001,5000000,4991599,556,0.0,0
I,5000001,5010000,5004390,376,0.0002,0
I,5010001,5020000,5016457,189,0.0,0
I,5050001,5060000,5056470,592,0.0,0
I,5060001,5070000,5061271,488,0.0,0
I,5080001,5090000,5083407,386,0.0,0
I,5100001,5110000,5104000,797,0.0,0
I,5110001,5120000,5115304,1020,0.0003,0
I,5120001,5130000,5126413,933,0.0001,0
I,5130001,5140000,5135089,333,0.0,0
I,5140001,5150000,5146720,314,0.0003,0
I,5150001,5160000,5159174,597,0.0,0
I,5160001,5170000,5165191,1463,0.0001,0
I,5170001,5180000,5175042,1316,0.0001,0
I,5180001,5190000,5184536,548,0.0002,0
I,5190001,5200000,5196248,275,0.0,0
I,5200001,5210000,5201750,402,0.0,0
I,5230001,5240000,5236266,669,0.0005,0
I,5240001,5250000,5246594,893,0.0002,0
I,5250001,5260000,5254560,1153,0.0001,0
I,5260001,5270000,5266417,294,0.0003,0
I,5270001,5280000,5274488,863,0.0002,0
I,5300001,5310000,5302337,337,0.0,0
I,5310001,5320000,5318493,178,0.0,0
I,5320001,5330000,5326859,1156,0.0004,0
I,5330001,5340000,5338613,163,0.0,0
I,5340001,5350000,5345547,249,0.0,0
I,5350001,5360000,5353026,514,0.0,0
I,5360001,5370000,5361589,250,0.0,0
I,5370001,5380000,5375003,266,0.0,0
I,5400001,5410000,5406958,327,0.0003,0
I,5410001,5420000,5418547,233,0.0004,0
I,5420001,5430000,5425805,365,0.0,0
I,5430001,5440000,5436871,678,0.0001,0
I,5440001,5450000,5441232,213,0.0,0
I,5470001,5480000,5474497,185,0.0004,0
I,5480001,5490000,5485682,626,0.0004,0
I,5500001,5510000,5504012,350,0.0,0
I,5510001,5520000,5513893,652,0.0001,0
I,5520001,5530000,5524846,1064,0.0,0
I,5530001,5540000,5531070,263,0.0,0
I,5540001,5550000,5547826,440,0.0,0
I,5550001,5560000,5556018,230,0.0,0
I,5560001,5570000,5565558,1061,0.0002,0
I,5570001,5580000,5574947,623,0.0001,0
I,5580001,5590000,5584599,597,0.0,0
I,5590001,5600000,5594606,426,0.001,0
I,5600001,5610000,5607018,298,0.0003,0
I,5610001,5620000,5614047,825,0.0,0
I,5620001,5630000,5624964,389,0.0002,0
I,5630001,5640000,5634451,323,0.0,0
I,5640001,5650000,5647385,619,0.0,0
I,5650001,5660000,5654315,1752,0.0002,0
I,5660001,5670000,5662487,801,0.0003,0
I,5670001,5680000,5673967,455,0.0,0
I,5680001,5690000,5685984,369,0.0002,0
I,5700001,5710000,5703512,274,0.0,0
I,5740001,5750000,5744699,270,0.0003,0
I,5770001,5780000,5771916,318,0.0,0
I,5790001,5800000,5795286,1020,0.0,0
I,5800001,5810000,5805768,1062,0.0005,0
I,5810001,5820000,5814926,1563,0.0001,0
I,5820001,5830000,5825272,909,0.0005,0
I,5830001,5840000,5833673,472,0.0,0
I,5840001,5850000,5846128,761,0.0002,0
I,5850001,5860000,5853646,685,0.0001,0
I,5860001,5870000,5865923,1074,0.0,0
I,5870001,5880000,5876010,839,0.0004,0
I,5890001,5900000,5894229,547,0.0001,0
I,5900001,5910000,5902883,343,0.0011,0
I,5910001,5920000,5917263,852,0.0002,0
I,5920001,5930000,5925567,1037,0.0004,0
I,5930001,5940000,5932334,874,0.0001,0
I,5940001,5950000,5945434,651,0.0001,0
I,5960001,5970000,5965646,634,0.0003,0
I,5970001,5980000,5972052,173,0.0,0
I,5980001,5990000,5985913,400,0.0002,0
I,5990001,6000000,5994093,455,0.0002,0
I,6000001,6010000,6006923,314,0.0008,0
I,6010001,6020000,6014632,1349,0.0008,0
I,6020001,6030000,6025305,582,0.0,0
I,6030001,6040000,6033942,672,0.0,0
I,6040001,6050000,6045072,688,0.0001,0
I,6050001,6060000,6057252,811,0.0006,0
I,6060001,6070000,6063449,600,0.0006,0
I,6070001,6080000,6071151,261,0.0,0
I,6080001,6090000,6084448,479,0.0,0
I,6090001,6100000,6096243,186,0.0004,0
I,6100001,6110000,6107788,308,0.0005,0
I,6110001,6120000,6111930,291,0.0,0
I,6120001,6130000,6124309,314,0.0,0
I,6130001,6140000,6133869,235,0.0,0
I,6140001,6150000,6144750,393,0.0,0
I,6150001,6160000,6152411,365,0.0005,0
I,6180001,6190000,6188189,814,0.0001,0
I,6190001,6200000,6191348,621,0.0003,0
I,6200001,6210000,6203838,573,0.0001,0
I,6210001,6220000,6214099,830,0.0,0
I,6240001,6250000,6245606,1156,0.0,0
I,6250001,6260000,6255746,641,0.0001,0
I,6260001,6270000,6266625,340,0.0002,0
I,6280001,6290000,6286511,226,0.0,0
I,6300001,6310000,6304366,680,0.0,0
I,6310001,6320000,6313171,437,0.0002,0
I,6320001,6330000,6320753,221,0.0,0
I,6340001,6350000,6344228,524,0.0,0
I,6350001,6360000,6356500,542,0.0,0
I,6360001,6370000,6367208,492,0.0,0
I,6370001,6380000,6374927,681,0.0,0
I,6380001,6390000,6385466,434,0.0,0
I,6400001,6410000,6404925,296,0.0013,0
I,6410001,6420000,6410680,336,0.0002,0
I,6420001,6430000,6424657,758,0.0,0
I,6440001,6450000,6446201,1081,0.0009,0
I,6450001,6460000,6453234,400,0.0011,0
I,6460001,6470000,6464482,580,0.0001,0
I,6470001,6480000,6477293,215,0.0,0
I,6480001,6490000,6485038,427,0.0,0
I,6490001,6500000,6496330,578,0.0003,0
I,6500001,6510000,6506470,445,0.0002,0
I,6510001,6520000,6517322,320,0.0,0
I,6530001,6540000,6531815,250,0.0003,0
I,6540001,6550000,6544588,1159,0.0,0
I,6550001,6560000,6553853,897,0.0003,0
I,6560001,6570000,6563617,1604,0.0,0
I,6570001,6580000,6571511,170,0.0006,0
I,6580001,6590000,6583525,253,0.0003,0
I,6590001,6600000,6597705,489,0.0,0
I,6600001,6610000,6602150,534,0.0,0
I,6610001,6620000,6616340,462,0.0005,0
I,6620001,6630000,6623818,556,0.0001,0
I,6630001,6640000,6632129,162,0.0,0
I,6650001,6660000,6655074,233,0.0004,0
I,6660001,6670000,6667112,537,0.0,0
I,6700001,6710000,6706776,382,0.0002,0
I,6710001,6720000,6718013,183,0.0,0
I,6720001,6730000,6725096,596,0.0001,0
I,6730001,6740000,6734321,1130,0.0001,0
I,6740001,6750000,6746346,664,0.0007,0
I,6750001,6760000,6753999,383,0.0,0
I,6770001,6780000,6777651,169,0.0005,0
I,6780001,6790000,6788361,194,0.0,0
I,6790001,6800000,6796334,766,0.0006,0
I,6800001,6810000,6803995,188,0.0019,0
I,6810001,6820000,6815949,281,0.0,0
I,6820001,6830000,6821018,263,0.0,0
I,6830001,6840000,6837810,512,0.0,0
I,6840001,6850000,6845012,358,0.0,0
I,6850001,6860000,6854263,545,0.0003,0
I,6870001,6880000,6873466,517,0.0,0
I,6880001,6890000,6887786,384,0.0002,0
I,6890001,6900000,6892520,511,0.0003,0
I,6900001,6910000,6905454,868,0.0,0
I,6910001,6920000,6914732,910,0.0002,0
I,6920001,6930000,6923849,465,0.0,0
I,6930001,6940000,6937843,350,0.0005,0
I,6940001,6950000,6945608,474,0.0002,0
I,6950001,6960000,6955579,225,0.0,0
I,6970001,6980000,6973918,454,0.0002,0
I,6990001,7000000,6992765,340,0.0002,0
I,7010001,7020000,7015600,1027,0.0003,0
I,7020001,7030000,7023972,321,0.0,0
I,7040001,7050000,7046473,184,0.0,0
I,7050001,7060000,7057031,316,0.0,0
I,7070001,7080000,7071393,233,0.0,0
I,7080001,7090000,7085484,501,0.0003,0
I,7090001,7100000,7094770,1050,0.0001,0
I,7110001,7120000,7117107,504,0.0,0
I,7130001,7140000,7135492,462,0.0,0
I,7150001,7160000,7154562,832,0.0,0
I,7160001,7170000,7164069,1362,0.0,0
I,7180001,7190000,7185411,514,0.0003,0
I,7190001,7200000,7191777,837,0.0,0
I,7200001,7210000,7204341,319,0.0003,0
I,7210001,7220000,7218818,190,0.0,0
I,7220001,7230000,7225691,832,0.0001,0
I,7230001,7240000,7233739,1043,0.0002,0
I,7250001,7260000,7254161,749,0.0,0
I,7260001,7270000,7261071,330,0.0,0
I,7280001,7290000,7280930,232,0.0,0
I,7290001,7300000,7294501,856,0.0001,0
I,7300001,7310000,7305484,787,0.0,0
I,7310001,7320000,7312849,502,0.0,0
I,7340001,7350000,7345842,386,0.0,0
I,7350001,7360000,7353073,662,0.0,0
I,7360001,7370000,7362395,308,0.0,0
I,7370001,7380000,7371134,270,0.0,0
I,7450001,7460000,7452924,927,0.0001,0
I,7480001,7490000,7488692,681,0.0,0
I,7500001,7510000,7504567,572,0.0,0
I,7510001,7520000,7511968,432,0.0,0
I,7530001,7540000,7533101,301,0.0,0
I,7540001,7550000,7540554,220,0.0,0
I,7550001,7560000,7557226,1116,0.0,0
I,7560001,7570000,7565048,1436,0.0001,0
I,7580001,7590000,7586073,1456,0.0003,0
I,7590001,7600000,7594029,912,0.0001,0
I,7600001,7610000,7604789,982,0.0001,0
I,7610001,7620000,7617463,564,0.0,0
I,7620001,7630000,7628656,881,0.0,0
I,7630001,7640000,7634926,1715,0.0002,0
I,7640001,7650000,7646926,862,0.0,0
I,7650001,7660000,7654359,709,0.0,0
I,7660001,7670000,7669280,219,0.0,0
I,7670001,7680000,7675356,526,0.0,0
I,7680001,7690000,7683834,949,0.0002,0
I,7690001,7700000,7695305,485,0.0002,0
I,7700001,7710000,7703135,504,0.0,0
I,7730001,7740000,7735666,1312,0.0001,0
I,7760001,7770000,7768963,288,0.0,0
I,7770001,7780000,7775998,238,0.0,0
I,7800001,7810000,7801106,251,0.0,0
I,7810001,7820000,7815546,286,0.0,0
I,7820001,7830000,7826196,426,0.0002,0
I,7830001,7840000,7834329,633,0.0,0
I,7840001,7850000,7847622,328,0.0002,0
I,7850001,7860000,7854220,1021,0.0,0
I,7860001,7870000,7863132,178,0.0005,0
I,7870001,7880000,7871312,702,0.0,0
I,7890001,7900000,7892383,447,0.0,0
I,7900001,7910000,7901281,358,0.0005,0
I,7910001,7920000,7917032,238,0.0,0
I,7920001,7930000,7924522,982,0.0,0
I,7930001,7940000,7935342,1311,0.0001,0
I,7940001,7950000,7946168,496,0.0003,0
I,7950001,7960000,7955391,425,0.0021,0
I,7960001,7970000,7965046,1009,0.0002,0
I,7970001,7980000,7974841,367,0.0008,0
I,7980001,7990000,7983449,171,0.0,0
I,7990001,8000000,7992895,257,0.0,0
I,8010001,8020000,8016574,726,0.0,0
I,8020001,8030000,8024054,1085,0.0,0
I,8030001,8040000,8034672,805,0.0001,0
I,8040001,8050000,8041733,352,0.0,0
I,8050001,8060000,8053350,672,0.0,0
I,8060001,8070000,8065099,1008,0.0,0
I,8070001,8080000,8076913,723,0.0,0
I,8080001,8090000,8086665,810,0.0,0
I,8090001,8100000,8094833,321,0.0,0
I,8100001,8110000,8106550,245,0.0,0
I,8130001,8140000,8134301,194,0.0,0
I,8140001,8150000,8140300,178,0.0,0
I,8150001,8160000,8156837,584,0.0004,0
I,8160001,8170000,8166241,762,0.0001,0
I,8170001,8180000,8175307,365,0.0008,0
I,8220001,8230000,8223887,632,0.0001,0
I,8240001,8250000,8245702,417,0.0,0
I,8260001,8270000,8267411,189,0.0004,0
I,8280001,8290000,8287446,270,0.0,0
I,8290001,8300000,8296779,815,0.0,0
I,8310001,8320000,8318093,397,0.0006,0
I,8320001,8330000,8324008,593,0.0,0
I,8330001,8340000,8336455,793,0.0,0
I,8340001,8350000,8342595,697,0.0,0
I,8350001,8360000,8357506,384,0.0,0
I,8360001,8370000,8365842,1099,0.0025,0
I,8370001,8380000,8376570,360,0.0002,0
I,8380001,8390000,8384887,224,0.0,0
I,8390001,8400000,8397401,469,0.0,0
I,8400001,8410000,8408335,213,0.0,0
I,8410001,8420000,8415251,574,0.0003,0
I,8420001,8430000,8423978,554,0.0,0
I,8430001,8440000,8434462,928,0.0,0
I,8440001,8450000,8447091,400,0.0,0
I,8450001,8460000,8450807,169,0.0005,0
I,8460001,8470000,8465640,394,0.0003,0
I,8470001,8480000,8472599,390,0.0006,0
I,8480001,8490000,8487998,501,0.0,0
I,8490001,8500000,8494158,623,0.0,0
I,8520001,8530000,8525976,716,0.0,0
I,8530001,8540000,8530905,335,0.0,0
I,8550001,8560000,8553497,1403,0.0001,0
I,8570001,8580000,8575653,478,0.0003,0
I,8580001,8590000,8585268,273,0.0,0
I,8590001,8600000,8594718,818,0.0002,0
I,8600001,8610000,8603539,322,0.0,0
I,8610001,8620000,8612872,371,0.0006,0
I,8620001,8630000,8624904,244,0.0003,0
I,8630001,8640000,8636820,329,0.0,0
I,8640001,8650000,8642383,432,0.0,0
I,8650001,8660000,8652668,257,0.0003,0
I,8660001,8670000,8663993,352,0.0004,0
I,8690001,8700000,8695167,762,0.0006,0
I,8700001,8710000,8703958,506,0.0,0
I,8710001,8720000,8710667,245,0.0,0
I,8730001,8740000,8734356,559,0.0001,0
I,8740001,8750000,8743453,357,0.0,0
I,8750001,8760000,8754218,841,0.0,0
I,8760001,8770000,8766738,601,0.0,0
I,8770001,8780000,8773894,310,0.0007,0
I,8790001,8800000,8795059,743,0.0003,0
I,8800001,8810000,8804665,704,0.0,0
I,8810001,8820000,8814825,933,0.0001,0
I,8820001,8830000,8825547,1172,0.0005,0
I,8830001,8840000,8833660,1430,0.0,0
I,8840001,8850000,8846417,856,0.0002,0
I,8870001,8880000,8876958,414,0.0002,0
I,8880001,8890000,8885928,345,0.0,0
I,8890001,8900000,8893853,682,0.0,0
I,8900001,8910000,8906283,900,0.0001,0
I,8910001,8920000,8914277,1476,0.0003,0
I,8920001,8930000,8923713,403,0.0,0
I,8950001,8960000,8954733,651,0.0005,0
I,8960001,8970000,8967122,1417,0.0001,0
I,8970001,8980000,8977831,1043,0.0001,0
I,8980001,8990000,8981537,629,0.0,0
I,8990001,9000000,8996341,587,0.0004,0
I,9000001,9010000,9007128,360,0.0,0
I,9010001,9020000,9012357,365,0.0,0
I,9020001,9030000,9024077,502,0.0,0
I,9030001,9040000,9032881,337,0.0,0
I,9040001,9050000,9044557,559,0.0001,0
I,9050001,9060000,9056914,282,0.0003,0
I,9060001,9070000,9063642,411,0.0,0
I,9070001,9080000,9077670,482,0.0002,0
I,9100001,9110000,9101893,224,0.0007,0
I,9110001,9120000,9118602,312,0.0003,0
I,9120001,9130000,9122774,643,0.0005,0
I,9140001,9150000,9142572,719,0.0002,0
I,9150001,9160000,9156711,310,0.0,0
I,9160001,9170000,9161372,572,0.0005,0
I,9170001,9180000,9175749,253,0.0,0
I,9180001,9190000,9182820,178,0.0,0
I,9220001,9230000,9224116,344,0.0005,0
I,9230001,9240000,9235249,324,0.0,0
I,9240001,9250000,9240946,328,0.0,0
I,9250001,9260000,9256138,522,0.0,0
I,9260001,9270000,9266204,387,0.0002,0
I,9270001,9280000,9272087,177,0.0,0
I,9280001,9290000,9284760,451,0.0005,0
I,9290001,9300000,9293631,168,0.0,0
I,9300001,9310000,9306048,182,0.0,0
I,9310001,9320000,9316807,846,0.0002,0
I,9320001,9330000,9322914,1271,0.0001,0
I,9330001,9340000,9337213,443,0.0,0
I,9360001,9370000,9366434,688,0.0,0
I,9370001,9380000,9370652,209,0.0,0
I,9390001,9400000,9394697,265,0.0,0
I,9400001,9410000,9407081,240,0.0003,0
I,9410001,9420000,9415647,451,0.0002,0
I,9420001,9430000,9423015,310,0.0,0
I,9430001,9440000,9432098,204,0.0,0
I,9470001,9480000,9478086,271,0.0,0
I,9480001,9490000,9485923,641,0.0004,0
